scenario,controller,step,t,v,log_xt,log_dth,log_v,stop,fwd_only,plan_len,lat25,lon25,hd25,lat50,lon50,hd50
scene-034-easy-00,fixed,18,4.5,10.003,-0.0431,0.00277,10.184,0,0,29.88244,-0.03052,-0.03879,-0.00993,-0.0487,-0.06992,-0.00559
scene-034-easy-00,fixed,19,4.75,10.011,-0.0409,-0.00092,10.152,0,0,29.7585,-0.03576,-0.03387,-0.01135,-0.05491,-0.06124,-0.00493
scene-034-easy-00,fixed,20,5.0,10.004,-0.0494,-0.0027,10.118,0,0,29.62752,-0.03561,-0.02636,-0.0113,-0.0547,-0.05079,-0.00464
scene-034-easy-00,fixed,21,5.25,9.986,-0.0548,-0.00324,10.079,0,0,29.47356,-0.02953,-0.02042,-0.00964,-0.04555,-0.04431,-0.00468
scene-034-easy-00,fixed,22,5.5,9.96,-0.0545,0.0003,10.02,0,0,29.29754,-0.02725,-0.02564,-0.0089,-0.04083,-0.05083,-0.00338
scene-034-easy-00,fixed,23,5.75,9.927,-0.0452,0.00108,10.011,0,0,29.1055,-0.0291,-0.02906,-0.00888,-0.04072,-0.0594,-0.0018
scene-034-easy-00,fixed,24,6.0,9.889,-0.0413,0.0009,9.988,0,0,28.8885,-0.019,-0.02934,-0.00596,-0.02654,-0.06096,-0.00119
scene-034-easy-00,fixed,25,6.25,9.845,-0.041,0.00396,9.935,0,0,28.66858,-0.00865,-0.03262,-0.00309,-0.01295,-0.0675,-0.00116
scene-034-easy-00,fixed,26,6.5,9.794,-0.0277,0.00651,9.895,0,0,28.45867,-0.00445,-0.03801,-0.00181,-0.00648,-0.07695,-0.00123
scene-034-easy-00,fixed,27,6.75,9.738,-0.0135,0.00805,9.859,0,0,28.25677,-0.00349,-0.03907,-0.00197,-0.00627,-0.08039,-0.00173
scene-034-easy-00,fixed,28,7.0,9.676,-0.0062,-0.00228,9.8,0,0,28.06582,-0.00314,-0.04057,-0.00223,-0.00824,-0.08497,-0.00287
scene-034-easy-00,fixed,29,7.25,9.61,-0.0066,-0.00483,9.747,0,0,27.89084,-0.00625,-0.04565,-0.0028,-0.01099,-0.09154,-0.00254
scene-034-easy-00,fixed,30,7.5,9.541,-0.0084,0.00403,9.686,0,0,27.72981,-0.01489,-0.05402,-0.00543,-0.02199,-0.10002,-0.00264
scene-034-easy-00,fixed,31,7.75,9.471,-0.0094,-0.01473,9.639,0,0,27.58173,-0.01046,-0.053,-0.00471,-0.01847,-0.09264,-0.00326
scene-034-easy-00,fixed,32,8.0,9.4,-0.0228,0.00063,9.561,0,0,27.44762,-0.01047,-0.03826,-0.00455,,,
scene-034-easy-00,fixed,33,8.25,9.33,-0.019,0.0036,9.413,0,0,27.34349,,,,,,
scene-034-easy-00,ideal,0,0,1.0,0.0,-0.01798,8.392,0,0,12.14893,-0.0005,-0.00012,-8e-05,0.0,0.012,-0.00017
scene-034-easy-00,ideal,1,0.25,1.55,-0.0014,0.0,8.427,0,0,13.79935,7e-05,-0.00039,-0.00044,0.0009,0.0123,0.0002
scene-034-easy-00,ideal,2,0.5,2.1,-0.0001,0.00527,8.478,0,0,15.4485,0.00017,0.00021,1e-05,0.00191,0.01252,0.00061
scene-034-easy-00,ideal,3,0.75,2.65,0.0008,0.00161,8.52,0,0,17.09792,-5e-05,-0.00017,-0.00028,-0.00158,0.01263,0.00043
scene-034-easy-00,ideal,4,1.0,3.2,0.0014,-0.00188,8.578,0,0,18.74738,-0.0003,0.0003,0.00018,-0.00502,0.01257,-0.00233
scene-034-easy-00,ideal,5,1.25,3.75,-0.0009,-0.00094,8.658,0,0,20.39659,0.00031,-0.00022,-4e-05,3e-05,0.01278,2e-05
scene-034-easy-00,ideal,6,1.5,4.3,-0.0051,-1e-05,8.742,0,0,22.04188,0.00034,0.0005,1e-05,-0.00123,0.01321,-0.00079
scene-034-easy-00,ideal,7,1.75,4.85,-0.0006,-0.0003,8.828,0,0,23.57488,-0.00052,0.00025,2e-05,0.00178,0.01192,0.00114
scene-034-easy-00,ideal,8,2.0,5.4,-0.0012,-0.00233,8.969,0,0,24.95777,0.00029,-0.00091,-8e-05,-0.00557,0.01155,-0.00152
scene-034-easy-00,ideal,9,2.25,5.95,0.0017,-0.00182,9.159,0,0,26.18286,-0.00044,-0.00027,-3e-05,-0.00238,0.01331,-0.00031
scene-034-easy-00,ideal,10,2.5,6.5,-0.0056,-0.00252,9.346,0,0,27.24798,-0.00045,0.00085,-0.00012,-0.00084,0.01276,-0.00029
scene-034-easy-00,ideal,11,2.75,7.05,-0.002,0.00142,9.528,0,0,28.15407,-6e-05,-0.00075,8e-05,0.00416,0.01188,0.00082
scene-034-easy-00,ideal,12,3.0,7.6,-0.0001,0.00075,9.722,0,0,28.89357,0.00077,0.0,9e-05,0.00041,0.01196,0.00014
scene-034-easy-00,ideal,13,3.25,8.15,0.0035,-0.00231,9.918,0,0,29.47339,-6e-05,-0.00071,-9e-05,-0.00587,0.02043,-0.00105
scene-034-easy-00,ideal,14,3.5,8.7,-0.0007,0.00339,10.065,0,0,29.89917,-0.00094,-0.00034,-7e-05,0.00044,0.0587,-6e-05
scene-034-easy-00,ideal,15,3.75,9.25,-0.0052,-0.00331,10.145,0,0,30.16435,-0.00019,0.00058,-5e-05,0.00736,0.06018,0.00074
scene-034-easy-00,ideal,16,4.0,9.799,0.0014,0.00745,10.23,0,0,30.26313,0.00028,-0.00065,5e-05,0.0091,0.01209,0.00185
scene-034-easy-00,ideal,17,4.25,10.154,0.0064,-0.00784,10.239,0,0,30.21023,0.00059,0.00059,2e-05,-0.0047,0.00225,-0.00089
scene-034-easy-00,ideal,18,4.5,10.208,0.0083,-0.00058,10.196,0,0,30.11289,0.00065,-0.00011,7e-05,-0.00251,0.00312,-0.0008
scene-034-easy-00,ideal,19,4.75,10.199,-0.0056,-0.00509,10.204,0,0,30.00447,-0.00109,-1e-05,-9e-05,0.00396,0.0007,0.00082
scene-034-easy-00,ideal,20,5.0,10.185,-0.0025,0.00243,10.183,0,0,29.88264,-0.00022,-5e-05,-7e-05,0.00366,0.00243,0.0006
scene-034-easy-00,ideal,21,5.25,10.152,0.0051,0.00111,10.15,0,0,29.75432,0.00056,0.00011,8e-05,0.00069,-0.00126,0.00031
scene-034-easy-00,ideal,22,5.5,10.119,0.0038,0.00038,10.117,0,0,29.61947,-8e-05,-0.00025,3e-05,-0.00466,-0.00398,-0.00087
scene-034-easy-00,ideal,23,5.75,10.075,0.0003,-0.00262,10.074,0,0,29.46113,0.00032,0.00055,9e-05,0.00255,0.00211,-0.00015
scene-034-easy-00,ideal,24,6.0,10.03,-0.0046,0.00077,10.018,0,0,29.28257,0.00076,-0.00043,-5e-05,0.00484,0.004,0.00109
scene-034-easy-00,ideal,25,6.25,10.009,0.0012,-7e-05,10.011,0,0,29.0866,-0.00067,0.00105,-7e-05,-0.00559,-0.00021,-0.00053
scene-034-easy-00,ideal,26,6.5,9.983,0.0046,-0.00068,9.982,0,0,28.86568,-0.00026,-0.00026,4e-05,-0.00555,0.00014,-0.00111
scene-034-easy-00,ideal,27,6.75,9.936,-0.0045,0.00035,9.929,0,0,28.64325,-2e-05,-0.00018,-5e-05,0.00162,0.00296,4e-05
scene-034-easy-00,ideal,28,7.0,9.895,-0.0055,0.00162,9.892,0,0,28.43214,0.0005,-0.00011,8e-05,0.00251,0.00038,0.00068
scene-034-easy-00,ideal,29,7.25,9.854,0.0016,0.00574,9.852,0,0,28.22846,-6e-05,0.00012,-1e-05,-0.00277,-0.00075,-0.0009
scene-034-easy-00,ideal,30,7.5,9.798,0.0019,-0.00275,9.789,0,0,28.03786,0.00032,0.00012,4e-05,0.00619,0.00347,0.00103
scene-034-easy-00,ideal,31,7.75,9.739,-0.0029,-0.00497,9.738,0,0,27.8629,-0.00035,0.00047,5e-05,0.00254,0.00966,0.00088
scene-034-easy-00,ideal,32,8.0,9.685,0.0063,0.00543,9.676,0,0,27.70169,0.00076,8e-05,-0.0,-0.00537,0.00634,-0.00125
scene-034-easy-00,ideal,33,8.25,9.627,0.0019,-0.01239,9.627,0,0,27.55353,-0.0004,-9e-05,-2e-05,0.00068,-0.00273,7e-05
scene-034-easy-00,ideal,34,8.5,9.531,-0.0058,0.00129,9.53,0,0,27.42176,6e-05,0.0005,4e-05,,,
scene-034-easy-00,ideal,35,8.75,9.4,0.0011,0.00469,9.379,0,0,27.32086,,,,,,
scene-034-easy-00,official,0,0,1.0,0.0,-0.01798,8.392,0,0,12.14893,-0.0045,0.11288,-0.00633,-0.007,0.287,0.00803
scene-034-easy-00,official,1,0.25,1.75,-0.0079,-0.00625,8.44,0,0,14.39854,-0.00982,0.11154,0.00146,-0.00486,0.28729,-0.00134
scene-034-easy-00,official,2,0.5,2.5,-0.0136,0.00603,8.498,0,0,16.64822,-0.00633,0.11342,-0.0091,-0.012,0.2878,0.00194
scene-034-easy-00,official,3,0.75,3.25,-0.0098,-0.00225,8.556,0,0,18.89767,-0.00685,0.11189,-0.00065,-0.00477,0.28705,0.00994
scene-034-easy-00,official,4,1.0,4.0,-0.0114,0.00473,8.646,0,0,21.14644,0.0041,0.11267,0.00958,0.01445,0.28778,0.01394
scene-034-easy-00,official,5,1.25,4.75,-0.0045,0.01444,8.746,0,0,23.31089,0.01347,0.11264,0.01523,0.03201,0.28695,-0.02527
scene-034-easy-00,official,6,1.5,5.5,0.0153,0.01568,8.856,0,0,25.19594,0.02762,0.11185,-0.02028,-0.01666,0.28595,-0.0208
scene-034-easy-00,official,7,1.75,6.25,0.0332,-0.02483,9.04,0,0,26.798,-0.02323,0.11291,-0.01344,-0.05631,0.27353,-0.00915
scene-034-easy-00,official,8,2.0,7.0,-0.0163,-0.02431,9.269,0,0,28.10732,-0.05358,0.09817,-0.01709,-0.09134,0.22455,-0.00932
scene-034-easy-00,official,9,2.25,7.689,-0.064,-0.01443,9.478,0,0,29.05061,-0.07496,0.07864,-0.02271,-0.1206,0.16102,-0.01068
scene-034-easy-00,official,10,2.5,8.301,-0.0999,-0.00811,9.699,0,0,29.66949,-0.09089,0.05385,-0.02711,-0.14299,0.08709,-0.01123
scene-034-easy-00,official,11,2.75,8.817,-0.1254,-0.00728,9.918,0,0,30.03192,-0.09589,0.01675,-0.02884,-0.15306,0.01108,-0.01396
scene-034-easy-00,official,12,3.0,9.229,-0.1444,0.00248,10.073,0,0,30.21475,-0.0911,-0.03134,-0.02814,-0.15017,-0.06438,-0.01632
scene-034-easy-00,official,13,3.25,9.54,-0.1532,0.00234,10.157,0,0,30.26854,-0.1026,-0.05738,-0.03209,-0.17045,-0.09255,0.00722
scene-034-easy-00,official,14,3.5,9.763,-0.151,0.00627,10.237,0,0,30.24626,-0.11586,-0.04716,-0.00952,-0.12112,-0.07808,0.0032
scene-034-easy-00,official,15,3.75,9.932,-0.1684,0.01375,10.234,0,0,30.18396,-0.06233,-0.03664,-0.01756,-0.08326,-0.061,-0.00013
scene-034-easy-00,official,16,4.0,10.033,-0.1201,0.016,10.196,0,0,30.09906,-0.02956,-0.03072,-0.00722,-0.03297,-0.05004,0.00206
scene-034-easy-00,official,17,4.25,10.084,-0.0843,0.01263,10.205,0,0,29.99347,-0.00167,-0.02269,0.00015,0.00688,-0.03501,0.004
scene-034-easy-00,official,18,4.5,10.108,-0.0333,0.01785,10.18,0,0,29.87358,0.01262,-0.01381,0.00462,0.03108,-0.02121,0.00644
scene-034-easy-00,official,19,4.75,10.112,0.0062,0.01196,10.148,0,0,29.74611,0.02644,-0.00939,0.0089,0.05232,-0.01264,0.00933
scene-034-easy-00,official,20,5.0,10.101,0.0301,0.00919,10.115,0,0,29.61078,0.04183,-0.00186,0.01408,0.07727,-0.00211,0.01147
scene-034-easy-00,official,21,5.25,10.081,0.0524,0.00612,10.07,0,0,29.45154,0.06322,0.00351,0.02027,0.10871,0.00466,0.01334
scene-034-easy-00,official,22,5.5,10.054,0.0784,0.01035,10.017,0,0,29.27215,0.07565,-0.00109,0.02459,0.12963,-0.00252,0.01646
scene-034-easy-00,official,23,5.75,10.021,0.1079,0.00798,10.011,0,0,29.07481,0.08532,-0.00442,0.02845,0.14728,-0.00858,0.01933
scene-034-easy-00,official,24,6.0,9.982,0.1292,0.00624,9.979,0,0,28.85378,0.10483,-0.00315,0.03432,0.17529,-0.00951,0.02074
scene-034-easy-00,official,25,6.25,9.938,0.1469,0.00935,9.926,0,0,28.63192,0.12418,-0.00698,0.04003,0.20204,-0.01642,0.02163
scene-034-easy-00,official,26,6.5,9.887,0.1752,0.01086,9.89,0,0,28.42204,0.13156,-0.0113,0.04271,0.21427,-0.02322,0.02272
scene-034-easy-00,official,27,6.75,9.831,0.2022,0.01194,9.85,0,0,28.22011,0.13811,-0.01153,0.04427,0.22126,-0.02599,0.02196
scene-034-easy-00,official,28,7.0,9.769,0.2145,0.00077,9.786,0,0,28.03305,0.14444,-0.01471,0.0463,0.22996,-0.03283,0.02225
scene-034-easy-00,official,29,7.25,9.704,0.2212,-0.0024,9.736,0,0,27.86089,0.13882,-0.02199,0.04532,0.22502,-0.04256,0.02331
scene-034-easy-00,official,30,7.5,9.635,0.2304,0.00455,9.675,0,0,27.69964,0.14008,-0.02894,0.04554,0.22487,-0.04635,0.0232
scene-034-easy-00,official,31,7.75,9.565,0.2244,-0.01341,9.626,0,0,27.55729,0.14645,-0.02603,0.04776,0.23296,-0.0382,0.02298
scene-034-easy-00,official,32,8.0,9.495,0.2239,0.00217,9.529,0,0,27.42282,0.14535,-0.00778,0.04817,,,
scene-034-easy-00,official,33,8.25,9.425,0.2322,0.00395,9.379,0,0,27.32335,,,,,,
scene-0383-easy-00,fixed,0,0,1.0,0.0,-0.0135,5.991,0,0,11.25105,-0.00488,0.105,-0.01255,-0.01,0.256,-0.00941
scene-0383-easy-00,fixed,1,0.25,1.722,-0.0058,-0.01315,6.189,0,0,12.55001,-0.00946,0.09537,-0.01448,-0.01647,0.219,-0.00909
scene-0383-easy-00,fixed,2,0.5,2.403,-0.0129,-0.01072,6.38,0,0,13.473,-0.01188,0.0785,-0.01505,-0.02236,0.163,-0.01055
scene-0383-easy-00,fixed,3,0.75,3.016,-0.0181,-0.00723,5.915,0,0,14.05003,-0.01658,0.056,-0.01519,-0.02755,0.093,-0.00854
scene-0383-easy-00,fixed,4,1.0,3.541,-0.0238,-0.00543,5.858,0,0,14.33512,-0.0331,0.02988,-0.01902,-0.03885,0.015,0.00675
scene-0383-easy-00,fixed,5,1.25,3.962,-0.0279,-0.00734,5.756,0,0,14.38631,-0.0203,-0.01437,-0.01625,-0.0362,-0.066,-0.01184
scene-0383-easy-00,fixed,6,1.5,4.275,-0.0388,-0.00404,5.596,0,0,14.26369,0.01817,-0.06537,0.00701,0.01729,-0.135,-0.00887
scene-0383-easy-00,fixed,7,1.75,4.487,-0.0355,-0.00974,5.734,0,0,14.02699,-0.04248,-0.0795,-0.02534,-0.06172,-0.159,-0.00747
scene-0383-easy-00,fixed,8,2.0,4.615,0.0024,0.1131,5.396,0,0,13.73281,-0.03175,-0.0495,-0.02,-0.047,-0.12,-0.00673
scene-0383-easy-00,fixed,9,2.25,4.675,-0.0573,-0.28349,5.148,0,0,13.42835,-0.02361,-0.07687,-0.01542,-0.03598,-0.16099,-0.00806
scene-0383-easy-00,fixed,10,2.5,4.688,-0.0498,0.01633,5.12,0,0,13.07518,-0.019,-0.10337,-0.01436,-0.0318,-0.20197,-0.01069
scene-0383-easy-00,fixed,11,2.75,4.662,-0.0372,0.00354,5.145,0,0,12.66365,-0.02033,-0.10122,-0.01694,-0.03555,-0.19692,-0.01598
scene-0383-easy-00,fixed,12,3.0,4.601,-0.0334,-0.00155,5.028,0,0,12.23921,-0.02299,-0.09731,-0.0221,-0.04502,-0.18878,-0.02319
scene-0383-easy-00,fixed,13,3.25,4.514,-0.0369,-0.01011,4.896,0,0,11.82988,-0.03511,-0.09307,-0.03228,-0.06574,-0.18049,-0.03237
scene-0383-easy-00,fixed,14,3.5,4.409,-0.0448,-0.01639,4.754,0,0,11.40724,-0.0511,-0.08776,-0.04613,-0.09181,-0.173,-0.04117
scene-0383-easy-00,fixed,15,3.75,4.29,-0.0636,-0.0286,4.609,0,0,10.98715,-0.07229,-0.08631,-0.06359,-0.12458,-0.16715,-0.04991
scene-0383-easy-00,fixed,16,4.0,4.164,-0.0897,-0.03614,4.46,0,0,10.57563,-0.0935,-0.08563,-0.08221,-0.15818,-0.16078,-0.05996
scene-0383-easy-00,fixed,17,4.25,4.031,-0.1234,-0.04209,4.313,0,0,10.17366,-0.11466,-0.0704,-0.10111,-0.18882,-0.14173,-0.06688
scene-0383-easy-00,fixed,18,4.5,3.897,-0.1577,-0.0453,4.167,0,0,9.7934,-0.14187,-0.05205,-0.12599,-0.22577,-0.11398,-0.07358
scene-0383-easy-00,fixed,19,4.75,3.761,-0.1886,-0.04302,3.953,0,0,9.45617,-0.14471,-0.06537,-0.13465,-0.234,-0.12808,-0.08196
scene-0383-easy-00,fixed,20,5.0,3.629,-0.2498,0.24936,3.887,0,0,9.21273,-0.15033,-0.11694,-0.14062,-0.24286,-0.20593,-0.09141
scene-0383-easy-00,fixed,21,5.25,3.512,-0.2372,-0.03632,3.92,0,0,8.89415,-0.15989,-0.06108,-0.16255,-0.26114,-0.11626,-0.10337
scene-0383-easy-00,fixed,22,5.5,3.384,-0.2478,-0.03798,3.583,0,0,8.6951,-0.20965,-0.04693,-0.2109,-0.33153,-0.0956,-0.11787
scene-0383-easy-00,fixed,23,5.75,3.266,-0.2643,-0.04203,3.357,0,0,8.48343,-0.18361,-0.04087,-0.20262,-0.30089,-0.08294,-0.12963
scene-0383-easy-00,fixed,24,6.0,3.157,-0.3062,-0.26459,3.345,0,0,8.33571,-0.20651,-0.00543,-0.23816,-0.33582,-0.01741,-0.14456
scene-0383-easy-00,fixed,25,6.25,3.051,-0.3027,-0.06504,3.251,0,0,8.35487,-0.22005,-0.02762,-0.25288,-0.35409,-0.04683,-0.14957
scene-0383-easy-00,fixed,26,6.5,2.971,-0.3365,-0.04906,3.053,0,0,8.38899,-0.23301,-0.01413,-0.27377,-0.37067,-0.0155,-0.15273
scene-0383-easy-00,fixed,27,6.75,2.908,-0.3561,-0.03865,2.937,0,0,8.54433,-0.23575,0.00442,-0.28545,-0.3732,0.01928,-0.15437
scene-0383-easy-00,fixed,28,7.0,2.866,-0.3702,-0.03406,2.831,0,0,8.78608,-0.22825,0.02735,-0.28523,-0.35989,0.06179,-0.14827
scene-0383-easy-00,fixed,29,7.25,2.848,-0.3705,-0.01179,2.739,0,0,8.96654,-0.22149,0.04204,-0.27868,-0.34602,0.08765,-0.13638
scene-0383-easy-00,fixed,30,7.5,2.856,-0.3501,0.01688,2.703,0,0,9.22499,-0.19761,0.04298,-0.25318,-0.3133,0.09293,-0.13361
scene-0383-easy-00,fixed,31,7.75,2.892,-0.333,0.02293,2.731,0,0,9.55852,-0.18689,0.0427,-0.22249,-0.27358,0.10416,-0.07714
scene-0383-easy-00,fixed,32,8.0,2.951,-0.2982,0.0178,2.784,0,0,10.01199,-0.1664,0.05849,-0.20284,-0.24692,0.12902,-0.08012
scene-0383-easy-00,fixed,33,8.25,3.033,-0.254,0.03382,2.866,0,0,10.43623,-0.09291,0.07866,-0.12835,-0.14365,0.15586,-0.06463
scene-0383-easy-00,fixed,34,8.5,3.132,-0.1811,0.13709,2.996,0,0,10.87095,-0.06815,0.0644,-0.1009,-0.10813,0.12517,-0.06463
scene-0383-easy-00,fixed,35,8.75,3.257,-0.1383,-0.09156,3.052,0,0,11.1984,-0.03826,0.0779,-0.07348,-0.06551,0.13365,-0.06187
scene-0383-easy-00,fixed,36,9.0,3.38,-0.0917,-0.02166,3.296,0,0,11.72186,-0.04951,0.04573,-0.08384,-0.08331,0.08618,-0.06643
scene-0383-easy-00,fixed,37,9.25,3.522,-0.0434,0.01459,3.383,0,0,12.13105,-0.04326,-0.02947,-0.08343,-0.08418,0.00632,-0.07858
scene-0383-easy-00,fixed,38,9.5,3.656,-0.0714,0.00125,4.187,0,0,12.5439,-0.0548,0.02382,-0.09522,-0.10517,0.08733,-0.08766
scene-0383-easy-00,fixed,39,9.75,3.787,-0.082,-0.04651,3.741,0,0,12.92334,-0.07857,0.15274,-0.11683,-0.14273,0.2765,-0.09372
scene-0383-easy-00,fixed,40,10.0,3.913,-0.0957,-0.05173,3.337,0,0,13.62552,-0.09097,0.06063,-0.11774,-0.15455,0.11323,-0.09015
scene-0383-easy-00,fixed,41,10.25,4.095,-0.1193,-0.05968,4.118,0,0,14.18153,-0.09733,0.01997,-0.12005,-0.16551,0.05801,-0.09059
scene-0383-easy-00,fixed,42,10.5,4.279,-0.1422,-0.07316,4.289,0,0,14.76492,-0.11106,-0.00589,-0.12871,-0.19009,0.04411,-0.09549
scene-0383-easy-00,fixed,43,10.75,4.451,-0.1612,-0.12326,4.508,0,0,15.43944,-0.11452,0.05301,-0.1318,-0.20063,0.13273,-0.09761
scene-0383-easy-00,fixed,44,11.0,4.619,-0.183,-0.0614,4.489,0,0,16.07168,-0.13207,0.13801,-0.13732,-0.21781,0.25683,-0.085
scene-0383-easy-00,fixed,45,11.25,4.787,-0.1831,-0.05156,4.461,0,0,16.80975,-0.1376,0.10557,-0.12742,-0.21006,0.20439,-0.06285
scene-0383-easy-00,fixed,46,11.5,4.982,-0.1869,-0.05727,4.941,0,0,17.43654,-0.09392,0.03686,-0.091,-0.13529,0.09489,-0.0417
scene-0383-easy-00,fixed,47,11.75,5.197,-0.1764,-0.01389,5.155,0,0,17.90378,-0.05378,0.03854,-0.06106,-0.06973,0.10976,-0.0205
scene-0383-easy-00,fixed,48,12.0,5.395,-0.1201,-0.00236,5.354,0,0,18.38915,-0.01337,0.04123,-0.02969,0.00183,0.1283,0.00412
scene-0383-easy-00,fixed,49,12.25,5.583,-0.0542,0.01482,5.518,0,0,18.79206,0.04985,0.09075,0.01193,0.10288,0.19334,0.02429
scene-0383-easy-00,fixed,50,12.5,5.76,0.0256,0.13789,5.491,0,0,19.17586,0.12576,0.15629,0.05728,0.21612,0.26198,0.03681
scene-0383-easy-00,fixed,51,12.75,5.928,0.1349,0.07059,5.434,0,0,19.58934,0.1938,0.11406,0.08893,0.31404,0.17962,0.04086
scene-0383-easy-00,fixed,52,13.0,6.099,0.2494,0.04972,6.504,0,0,19.89871,0.23631,-0.0791,0.09719,0.3799,-0.13977,0.04708
scene-0383-easy-00,fixed,53,13.25,6.28,0.3286,0.01622,6.82,0,0,19.79146,0.24598,-0.04681,0.10144,0.37855,-0.07625,0.03962
scene-0383-easy-00,fixed,54,13.5,6.394,0.3699,0.00517,6.985,0,0,19.70032,0.25869,-0.05804,0.10964,0.39681,-0.06919,0.04511
scene-0383-easy-00,fixed,55,13.75,6.463,0.3765,-0.01252,6.76,0,0,19.63606,0.2118,-0.01925,0.0964,0.33835,-0.02401,0.05208
scene-0383-easy-00,fixed,56,14.0,6.511,0.3877,0.07007,6.401,0,0,19.47922,0.21749,0.0861,0.10928,,,
scene-0383-easy-00,fixed,57,14.25,6.526,0.3357,0.03223,6.297,0,0,19.49271,,,,,,
scene-0383-easy-00,ideal,0,0,1.0,0.0,-0.0135,5.991,0,0,11.25105,0.00013,-0.0,0.00016,0.0,0.012,0.00017
scene-0383-easy-00,ideal,1,0.25,1.55,0.0006,-0.00044,6.14,0,0,12.26785,-0.00028,-0.00047,0.00021,0.00013,0.01205,0.00015
scene-0383-easy-00,ideal,2,0.5,2.1,0.0001,-0.00114,6.317,0,0,13.09474,0.00013,3e-05,-0.00031,-0.00093,0.01304,-0.00016
scene-0383-easy-00,ideal,3,0.75,2.65,-0.0001,0.00374,6.118,0,0,13.72667,-9e-05,0.00052,5e-05,0.00014,0.01304,-0.00062
scene-0383-easy-00,ideal,4,1.0,3.2,-0.0008,0.0001,5.889,0,0,14.16172,-0.00034,3e-05,4e-05,0.01301,0.01815,0.00199
scene-0383-easy-00,ideal,5,1.25,3.75,0.0006,0.00192,5.837,0,0,14.40906,6e-05,0.00012,-0.00017,-0.0034,0.05704,0.00955
scene-0383-easy-00,ideal,6,1.5,4.3,0.0129,-0.00154,5.689,0,0,14.46704,0.00056,-0.00046,1e-05,-0.05248,0.09448,-0.02886
scene-0383-easy-00,ideal,7,1.75,4.849,-0.0031,0.0041,5.601,0,0,14.3116,-0.00045,0.00025,0.00018,0.06578,-0.0,0.02723
scene-0383-easy-00,ideal,8,2.0,5.276,-0.046,0.03089,5.608,0,0,13.95362,0.00068,-0.00033,2e-05,-0.018,-0.01324,-0.00618
scene-0383-easy-00,ideal,9,2.25,5.204,0.0628,-0.2546,5.311,0,0,13.56898,-0.00033,1e-05,0.00013,-0.00495,0.02,-0.00184
scene-0383-easy-00,ideal,10,2.5,5.111,-0.0181,0.02094,5.002,0,0,13.17512,0.00074,-0.00076,0.00014,0.00025,0.01198,0.00012
scene-0383-easy-00,ideal,11,2.75,5.117,-0.0044,0.00451,5.153,0,0,12.72572,-0.00019,0.00103,1e-05,-0.00133,0.00307,-0.00063
scene-0383-easy-00,ideal,12,3.0,5.035,-0.0003,0.00224,5.024,0,0,12.24664,-0.00043,-8e-05,-7e-05,0.0021,0.00108,0.00098
scene-0383-easy-00,ideal,13,3.25,4.89,-0.0009,0.00016,4.877,0,0,11.79139,-0.00041,-9e-05,-6e-05,0.00357,7e-05,0.00092
scene-0383-easy-00,ideal,14,3.5,4.736,0.0028,-0.00043,4.721,0,0,11.3258,5e-05,3e-05,-0.00011,0.00199,0.00114,0.00249
scene-0383-easy-00,ideal,15,3.75,4.576,0.0037,-0.00044,4.56,0,0,10.87109,-0.00012,0.00012,1e-05,0.00131,0.00634,-0.00471
scene-0383-easy-00,ideal,16,4.0,4.415,0.0021,-0.00225,4.398,0,0,10.42953,0.00057,0.00014,0.00015,0.02964,-0.00362,0.01729
scene-0383-easy-00,ideal,17,4.25,4.256,0.0012,-0.00022,4.238,0,0,10.00545,-0.00021,-3e-05,-0.00024,-0.02019,-0.01497,-0.01026
scene-0383-easy-00,ideal,18,4.5,4.068,0.0288,0.01449,4.03,0,0,9.63069,0.00048,-0.00024,9e-05,-0.00466,0.00658,-0.00105
scene-0383-easy-00,ideal,19,4.75,3.879,-0.0156,-0.32217,3.948,0,0,9.30232,-0.00029,0.00043,-1e-05,-0.00112,0.01423,-0.00394
scene-0383-easy-00,ideal,20,5.0,3.772,-0.0044,-0.00202,3.846,0,0,9.02574,0.00027,0.00068,0.00012,0.01605,-0.01011,0.01326
scene-0383-easy-00,ideal,21,5.25,3.656,-0.0003,0.00138,3.608,0,0,8.78618,-0.00092,-0.00031,-0.00016,-0.01734,-0.00881,-0.01254
scene-0383-easy-00,ideal,22,5.5,3.457,0.0158,0.01329,3.414,0,0,8.57985,0.00053,0.00086,4e-05,0.01062,0.00752,0.00692
scene-0383-easy-00,ideal,23,5.75,3.303,-0.0152,-0.2285,3.341,0,0,8.48448,-0.00076,-0.00058,-0.00021,0.00028,0.00366,-0.00031
scene-0383-easy-00,ideal,24,6.0,3.205,0.0111,-0.01237,3.252,0,0,8.46948,0.0009,-0.00041,0.00022,0.00398,-0.00518,0.00191
scene-0383-easy-00,ideal,25,6.25,3.087,0.0008,0.00011,3.047,0,0,8.51124,-0.00063,0.0005,7e-05,-0.0003,-0.0028,0.00142
scene-0383-easy-00,ideal,26,6.5,2.944,0.0031,0.00557,2.933,0,0,8.68295,-0.00026,-0.00031,-0.00034,-0.00369,-0.01021,-0.00456
scene-0383-easy-00,ideal,27,6.75,2.839,-0.0002,-0.00167,2.828,0,0,8.92709,0.00045,0.00014,0.00021,0.00646,-0.00811,0.00408
scene-0383-easy-00,ideal,28,7.0,2.751,-0.0049,0.00497,2.742,0,0,9.10419,0.00028,0.00039,0.00029,-0.0033,-0.00385,-0.00099
