base_id,town,family,orig_type,seed,plus,minus,null,source
18160,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1816010,1816020,1816030,bench2drive_0.0.4_val
18160,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1816011,1816021,,bench2drive_0.0.4_val
18160,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1816012,1816022,,bench2drive_0.0.4_val
15483,Town12,Light,VanillaSignalizedTurnEncounterRedLight,0,1548310,1548320,1548330,bench2drive_0.0.4_val
15483,Town12,Light,VanillaSignalizedTurnEncounterRedLight,1,1548311,1548321,,bench2drive_0.0.4_val
15483,Town12,Light,VanillaSignalizedTurnEncounterRedLight,2,1548312,1548322,,bench2drive_0.0.4_val
18027,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1802710,1802720,1802730,bench2drive_0.0.4_val
18027,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1802711,1802721,,bench2drive_0.0.4_val
18027,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1802712,1802722,,bench2drive_0.0.4_val
2460,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,246010,246020,246030,bench2drive_0.0.4_val
2460,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,246011,246021,,bench2drive_0.0.4_val
2460,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,246012,246022,,bench2drive_0.0.4_val
27787,Town11,Light,VanillaSignalizedTurnEncounterRedLight,0,2778710,2778720,2778730,bench2drive_0.0.4_val
27787,Town11,Light,VanillaSignalizedTurnEncounterRedLight,1,2778711,2778721,,bench2drive_0.0.4_val
27787,Town11,Light,VanillaSignalizedTurnEncounterRedLight,2,2778712,2778722,,bench2drive_0.0.4_val
27297,Town11,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,2729710,2729720,2729730,bench2drive_0.0.4_val
27297,Town11,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,2729711,2729721,,bench2drive_0.0.4_val
27297,Town11,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,2729712,2729722,,bench2drive_0.0.4_val
10793,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1079310,1079320,1079330,bench2drive_0.0.4_val
10793,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1079311,1079321,,bench2drive_0.0.4_val
10793,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1079312,1079322,,bench2drive_0.0.4_val
17853,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1785310,1785320,1785330,bench2drive_0.0.4_val
17853,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1785311,1785321,,bench2drive_0.0.4_val
17853,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1785312,1785322,,bench2drive_0.0.4_val
24693,Town15,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,2469310,2469320,2469330,bench2drive_0.0.4_val
24693,Town15,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,2469311,2469321,,bench2drive_0.0.4_val
24693,Town15,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,2469312,2469322,,bench2drive_0.0.4_val
11010,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1101010,1101020,1101030,bench2drive_0.0.4_val
11010,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1101011,1101021,,bench2drive_0.0.4_val
11010,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1101012,1101022,,bench2drive_0.0.4_val
