route,kind,typ,t,dmin,v,vmax2s,plans,cot,low,lunge,revthr
2668,vehicle,vehicle.lincoln.mkz_2020,16.4,0.0,0.0,4.79,"[[14.8, 0.0, 'rev', -5.4, 1.89, 0.75, 0.0], [15.3, 0.8, 'go', 4.75, 1.72, 0.75, 0.0], [15.8, 2.01, 'go', 3.73, 1.2, 0.0, 1.0], [16.3, 0.0, 'go', 2.0, 0.67, 0.75, 0.0]]",Stop to yield to the oncoming vehicle blocking our path ahead,True,True,True
2668,vehicle,vehicle.mercedes.coupe_2020,126.85,0.0,-0.07,0.41,"[[125.2, -0.31, 'rev', -2.89, 0.96, 0.75, 0.0], [125.7, 0.14, 'stay', 1.03, 0.34, 0.0, 1.0], [126.2, 0.0, 'go', 1.31, 0.44, 0.75, 0.0], [126.7, -0.03, 'go', 3.12, 1.11, 0.75, 0.0]]",Nudge to the left to clear the stopped vehicle blocking the right side of our lane,True,True,True
2668,vehicle,vehicle.ford.mustang,184.35,0.0,0.42,0.42,"[[182.9, 0.0, 'rev', -1.07, 0.36, 0.0, 1.0], [183.4, 0.0, 'rev', -2.66, 0.94, 0.75, 0.0], [183.9, 0.16, 'rev', -1.85, 0.66, 0.75, 0.0], [184.4, 0.42, 'rev', -2.91, 1.01, 0.75, 0.0]]",Adapt speed for the right curve since the lane bends right ahead,True,True,True
2668,vehicle,vehicle.ford.mustang,196.95,0.0,1.78,2.53,"[[195.5, 1.35, 'go', 4.19, 1.84, 0.75, 0.0], [196.0, 1.68, 'go', 4.65, 1.92, 0.75, 0.0], [196.5, 2.25, 'go', 9.09, 4.16, 0.75, 0.0], [197.0, 1.63, 'go', 2.76, 0.8, 0.0, 1.0]]",Nudge to the left to clear the stopped vehicle blocking the right side of our lane,True,False,False
2709,vehicle,vehicle.ford.mustang,10.4,0.0,5.19,5.27,"[[8.6, 0.0, 'rev', -8.54, 2.85, 0.75, 0.0], [9.1, 1.1, 'go', 18.57, 7.09, 0.75, 0.0], [9.6, 2.52, 'go', 21.14, 7.83, 0.75, 0.0], [10.1, 4.68, 'go', 27.4, 9.87, 0.75, 0.0]]",Change lanes to the right and accelerate because a slower lead vehicle is blocking the cur,False,True,True
2709,vehicle,vehicle.audi.tt,23.2,0.0,1.01,2.38,"[[21.6, 2.12, 'go', 6.42, 2.06, 0.0, 0.0], [22.1, 1.87, 'go', 5.26, 1.61, 0.0, 1.0], [22.6, 0.0, 'go', 2.44, 0.81, 0.75, 0.0], [23.1, 0.72, 'go', 5.86, 1.97, 0.75, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,True,True,False
2844,vehicle,vehicle.carlamotors.firetruck,6.5,0.0,-0.01,13.24,"[[4.6, 11.73, 'go', 35.69, 11.9, 0.75, 0.0], [5.1, 13.14, 'go', 33.78, 10.89, 0.0, 1.0], [5.6, 10.8, 'go', 27.7, 8.9, 0.0, 1.0], [6.1, 6.45, 'go', 14.48, 4.84, 0.0, 1.0]]",Nudge left due to the stopped vehicle blocking the right side of our lane,True,False,False
2847,layout,static.prop.mesh,19.7,0.0,2.73,5.29,"[[18.2, 5.24, 'go', 10.42, 3.16, 0.0, 1.0], [18.7, 0.01, 'rev', -5.92, 2.07, 0.75, 0.0], [19.2, 1.17, 'go', 8.28, 3.21, 0.75, 0.0], [19.7, 2.73, 'go', 17.27, 6.77, 0.75, 0.0]]",Nudge to the left to pass the stopped vehicle blocking the right side of our lane,True,True,True
2847,vehicle,vehicle.carlamotors.firetruck,7.65,0.0,-0.01,11.95,"[[6.2, 11.85, 'go', 32.33, 10.67, 0.0, 1.0], [6.7, 9.04, 'go', 17.96, 5.44, 0.0, 1.0], [7.2, 3.3, 'go', 5.89, 2.0, 0.0, 1.0], [7.7, -1.01, 'rev', 0.1, 0.33, 0.0, 1.0]]",Stop due to emergency vehicle crossing ahead,True,False,False
2881,vehicle,vehicle.lincoln.mkz_2020,19.5,0.0,6.63,6.79,"[[17.6, 0.72, 'go', 10.17, 3.75, 0.75, 0.0], [18.1, 2.04, 'go', 9.01, 3.09, 0.75, 0.0], [18.6, 4.15, 'go', 21.03, 7.4, 0.75, 0.0], [19.1, 5.24, 'go', 24.9, 8.81, 0.75, 0.0]]",Nudge right due to the car turning left into our lane ahead,False,False,False
2881,vehicle,vehicle.lincoln.mkz_2017,31.95,0.0,8.56,8.75,"[[30.1, 1.84, 'go', 13.9, 5.15, 0.75, 0.0], [30.6, 3.84, 'go', 19.18, 6.85, 0.75, 0.0], [31.1, 5.17, 'go', 20.82, 7.61, 0.75, 0.0], [31.6, 7.21, 'go', 21.0, 7.36, 0.7129740376460646, 0.0]]",Resume speed since the lead vehicle turns right and clears our lane,False,False,False
2903,layout,traffic.stop,28.0,0.0,0.4,2.96,"[[26.2, 0.33, 'rev', -1.85, 0.75, 0.75, 0.0], [26.7, 1.16, 'go', 4.12, 1.53, 0.75, 0.0], [27.2, 2.83, 'go', 6.0, 1.86, 0.0, 1.0], [27.7, 0.0, 'rev', -1.57, 0.54, 0.75, 0.0]]","Stop because a stationary SUV is blocking our path directly ahead in the fog, leaving insu",True,True,True
2913,layout,traffic.speed_limit.30,39.75,0.0,2.07,2.07,"[[38.2, 0.63, 'go', 1.57, 0.46, 0.0, 1.0], [38.7, 0.0, 'go', 2.35, 0.75, 0.75, 0.0], [39.2, 0.7, 'go', 3.97, 1.31, 0.75, 0.0], [39.7, 1.99, 'go', 2.9, 0.75, 0.0, 1.0]]",Keep distance to the lead vehicle since it is stopped ahead in our lane,True,True,False
2989,layout,traffic.traffic_light,8.85,0.0,11.17,11.17,"[[7.3, 7.26, 'go', 27.55, 9.61, 0.75, 0.0], [7.8, 9.49, 'go', 28.79, 9.78, 0.75, 0.0], [8.3, 9.57, 'go', 18.71, 10.48, 0.75, 0.0], [8.8, 11.09, 'go', 14.8, 4.14, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our turning path,False,False,False
3086,layout,static.static,25.15,0.0,2.35,4.1,"[[23.7, 0.64, 'go', 5.43, 2.67, 0.75, 0.0], [24.2, 1.89, 'go', 6.92, 2.32, 0.75, 0.0], [24.7, 3.94, 'go', 7.53, 2.16, 0.0, 1.0], [25.2, 0.2, 'rev', -0.46, 0.39, 0.0, 1.0]]",Adapt speed to maintain a safe distance from the lead vehicle since it is stopped ahead,True,False,False
3090,layout,traffic.traffic_light,18.7,0.0,9.24,11.15,"[[17.1, 7.88, 'go', 31.59, 10.92, 0.75, 0.0], [17.6, 8.82, 'go', 12.91, 9.29, 0.75, 0.0], [18.1, 10.94, 'go', 26.4, 10.17, 0.0, 0.0], [18.6, 10.26, 'go', 15.77, 4.53, 0.0, 1.0]]",Slow down due to the right curve ahead,False,False,False
3093,vehicle,vehicle.bh.crossbike,17.25,0.0,7.4,7.42,"[[15.7, 3.55, 'go', 18.42, 8.27, 0.75, 0.0], [16.2, 3.87, 'go', 13.08, 5.3, 0.75, 0.0], [16.7, 5.22, 'go', 18.38, 7.64, 0.75, 0.0], [17.2, 7.24, 'go', 10.97, 3.14, 0.0, 1.0]]",Yield to the cyclist since they are crossing our path ahead,False,False,False
3093,vehicle,vehicle.mercedes.coupe_2020,21.6,0.0,7.99,9.24,"[[19.7, 3.42, 'rev', -1.17, 5.21, 0.75, 0.0], [20.2, 5.2, 'go', 24.96, 8.81, 0.75, 0.0], [20.7, 7.06, 'go', 26.44, 9.09, 0.75, 0.0], [21.2, 8.87, 'go', 15.19, 4.57, 0.0, 1.0]]",Slow down to create a gap for merging left because our right lane tapers/ends ahead and mu,False,False,False
3099,layout,static.static,25.25,0.0,2.33,2.49,"[[23.6, 0.0, 'rev', -0.36, 0.13, 0.0, 1.0], [24.1, 0.0, 'go', 4.02, 1.43, 0.75, 0.0], [24.6, 0.63, 'go', 3.6, 1.52, 0.75, 0.0], [25.1, 1.89, 'go', 5.42, 2.09, 0.75, 0.0]]","Merge left into traffic because a safe gap opens after the red SUV passes, then match spee",True,True,False
3100,layout,traffic.traffic_light,18.05,0.0,0.66,2.89,"[[16.6, 0.0, 'rev', -5.04, 1.85, 0.75, 0.0], [17.1, 0.8, 'go', 1.63, 0.65, 0.0, 1.0], [17.6, 0.0, 'go', 1.48, 0.51, 0.75, 0.0], [18.1, 0.75, 'go', 5.37, 2.58, 0.75, 0.0]]",Accelerate to merge left into traffic because a clear gap exists ahead after turning out o,True,True,True
3100,layout,traffic.speed_limit.30,168.4,0.0,4.61,4.87,"[[166.6, 0.0, 'rev', -2.35, 0.86, 0.75, 0.0], [167.1, 0.45, 'go', 4.22, 1.82, 0.75, 0.0], [167.6, 1.71, 'go', 5.57, 3.11, 0.75, 0.0], [168.1, 3.5, 'go', 18.66, 7.4, 0.75, 0.0]]","Change to the right lane to prepare for an upcoming right turn, using a gap ahead of lead ",False,True,True
3144,vehicle,vehicle.mini.cooper_s_2021,5.8,0.0,12.11,12.23,"[[4.1, 6.37, 'go', 10.68, 8.4, 0.75, 0.0], [4.6, 8.55, 'go', 21.17, 9.01, 0.75, 0.0], [5.1, 10.6, 'go', 28.09, 10.77, 0.75, 0.0], [5.6, 12.07, 'go', 33.45, 11.62, 0.0, 0.0]]",Adjust speed and keep safe distance due to the vehicle ahead,False,False,False
3144,vehicle,vehicle.dodge.charger_2020,110.75,0.0,0.1,5.25,"[[109.1, 2.01, 'go', 13.27, 5.78, 0.75, 0.0], [109.6, 4.02, 'go', 18.25, 7.85, 0.75, 0.0], [110.1, 5.17, 'go', 11.67, 3.94, 0.0, 1.0], [110.6, 0.0, 'rev', -4.1, 1.47, 0.75, 0.0]]",Nudge to the left to clear the stopped vehicle blocking the right side of our lane,True,True,True
3144,vehicle,vehicle.lincoln.mkz_2017,120.45,0.0,0.41,11.36,"[[118.6, 9.85, 'go', 33.42, 11.49, 0.75, 0.0], [119.1, 11.34, 'go', 27.35, 9.65, 0.0, 1.0], [119.6, 7.71, 'go', 4.91, 0.92, 0.0, 1.0], [120.1, -0.01, 'rev', -7.53, 2.94, 0.75, 0.0]]","Brake and come to a stop for the upcoming signalized intersection, yielding to cross-traff",True,True,True
3178,layout,traffic.stop,13.65,0.0,5.19,5.24,"[[12.2, 0.78, 'go', 8.47, 4.1, 0.75, 0.0], [12.7, 2.12, 'go', 14.2, 6.09, 0.75, 0.0], [13.2, 4.19, 'go', 23.8, 9.47, 0.75, 0.0], [13.7, 5.22, 'go', 24.29, 8.89, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
3178,layout,static.fence,26.7,0.0,2.36,7.01,"[[25.2, 6.49, 'go', 13.4, 4.38, 0.0, 1.0], [25.7, -0.01, 'rev', -2.45, 0.9, 0.75, 0.0], [26.2, 0.95, 'go', 10.02, 4.39, 0.75, 0.0], [26.7, 2.36, 'go', 5.14, 1.65, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,True,True,True
3178,layout,static.fence,100.6,0.0,1.01,2.56,"[[98.7, 2.45, 'go', 5.66, 1.99, 0.0, 1.0], [99.2, 0.0, 'rev', -0.33, 0.12, 0.0, 1.0], [99.7, 0.0, 'rev', -1.23, 0.41, 0.75, 0.0], [100.2, 0.66, 'go', 4.52, 1.89, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,True,True,True
3184,layout,traffic.speed_limit.30,25.6,0.0,2.0,2.29,"[[23.7, 0.7, 'go', 5.58, 2.19, 0.75, 0.0], [24.2, 2.21, 'go', 4.24, 1.57, 0.0, 1.0], [24.7, 0.0, 'rev', -1.81, 0.62, 0.75, 0.0], [25.2, 0.81, 'go', 4.85, 2.98, 0.75, 0.0]]",Change lanes to the left and merge into traffic because a safe gap opens after the crossin,True,True,True
3189,layout,traffic.speed_limit.30,12.3,0.0,12.71,12.71,"[[10.7, 6.73, 'go', 16.56, 8.32, 0.75, 0.0], [11.2, 8.85, 'go', 29.38, 11.48, 0.75, 0.0], [11.7, 10.97, 'go', 35.95, 12.57, 0.75, 0.0], [12.2, 12.52, 'go', 35.38, 11.74, 0.0, 0.0]]",Adapt speed for the right curve since the lane bends right ahead,False,False,False
3248,pedestrian,walker.pedestrian.0013,14.35,0.0,6.6,8.93,"[[12.7, 5.29, 'go', 19.19, 6.59, 0.75, 0.0], [13.2, 6.7, 'go', 22.8, 7.67, 0.75, 0.0], [13.7, 8.85, 'go', 23.64, 7.66, 0.0, 1.0], [14.2, 7.52, 'go', 12.82, 3.68, 0.0, 1.0]]",Yield due to the pedestrian in our lane ahead,False,False,False
3255,vehicle,vehicle.dodge.charger_2020,30.45,0.0,7.85,8.08,"[[29.0, 2.51, 'go', 14.02, 4.93, 0.75, 0.0], [29.5, 4.63, 'go', 20.07, 6.98, 0.75, 0.0], [30.0, 5.42, 'go', 16.79, 5.75, 0.75, 0.0], [30.5, 8.08, 'go', 32.79, 11.21, 0.75, 0.0]]",Lane change to the right due to slower vehicles ahead in the current lane and an available,False,False,False
3410,vehicle,vehicle.mini.cooper_s_2021,10.6,0.0,6.81,8.14,"[[8.7, 2.57, 'go', 16.46, 5.78, 0.75, 0.0], [9.2, 4.64, 'go', 19.96, 7.01, 0.75, 0.0], [9.7, 5.53, 'go', 19.7, 6.8, 0.75, 0.0], [10.2, 7.95, 'go', 13.88, 3.96, 0.0, 1.0]]",Nudge to the left to clear the stopped van blocking the right side of our lane,False,False,False
3410,vehicle,vehicle.dodge.charger_police_2020,36.2,0.0,1.9,1.98,"[[34.7, 0.63, 'go', 1.25, 0.35, 0.0, 1.0], [35.2, 0.0, 'go', 1.35, 0.44, 0.75, 0.0], [35.7, 0.63, 'go', 2.27, 0.9, 0.75, 0.0], [36.2, 1.9, 'stay', 1.16, 0.31, 0.0, 1.0]]",Keep distance to the lead vehicle since it is stopped ahead,True,True,False
3464,vehicle,vehicle.nissan.patrol_2021,9.9,0.0,5.25,5.25,"[[8.2, -0.01, 'rev', -2.26, 0.87, 0.75, 0.0], [8.6, 1.04, 'go', 8.0, 2.68, 0.75, 0.0], [9.2, 2.45, 'go', 12.51, 4.66, 0.75, 0.0], [9.7, 4.57, 'go', 14.71, 5.19, 0.75, 0.0]]",Nudge to the left to clear the stopped van with an open door blocking the lane,False,True,True
3472,vehicle,vehicle.nissan.patrol_2021,22.85,0.0,7.77,7.97,"[[21.3, 2.04, 'go', 8.71, 3.24, 0.75, 0.0], [21.8, 4.08, 'go', 16.81, 5.86, 0.75, 0.0], [22.3, 5.22, 'go', 15.95, 5.4, 0.75, 0.0], [22.8, 7.53, 'go', 31.02, 10.83, 0.75, 0.0]]",Nudge to the left to clear the stopped vehicle blocking the right side of our lane,False,False,False
3514,vehicle,vehicle.nissan.patrol_2021,3.95,0.0,5.27,5.27,"[[2.2, 0.0, 'go', 2.6, 1.01, 0.75, 0.0], [2.7, 0.75, 'go', 6.14, 2.69, 0.75, 0.0], [3.2, 2.12, 'go', 7.81, 2.97, 0.75, 0.0], [3.6, 4.24, 'go', 11.6, 4.43, 0.75, 0.0]]","Change to the left lane and accelerate to pass the slow/stopped lead vehicle, timing the m",False,True,False
3520,vehicle,vehicle.nissan.patrol_2021,6.55,0.0,1.82,1.97,"[[5.1, 0.0, 'stay', 0.28, 0.09, 0.0, 1.0], [5.6, 0.0, 'rev', -1.8, 0.6, 0.75, 0.0], [6.1, 0.7, 'go', 5.55, 3.87, 0.75, 0.0], [6.6, 1.97, 'go', 2.25, 0.6, 0.0, 1.0]]",Stop to keep distance to the stopped lead vehicle ahead,True,True,True
3540,vehicle,vehicle.dodge.charger_2020,24.6,0.0,10.66,10.72,"[[22.7, 4.19, 'go', 21.23, 7.7, 0.75, 0.0], [23.1, 5.27, 'go', 23.39, 8.29, 0.75, 0.0], [23.7, 7.78, 'go', 25.53, 8.88, 0.75, 0.0], [24.2, 9.97, 'go', 36.56, 12.39, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
3561,vehicle,vehicle.ford.mustang,20.25,0.0,4.24,4.39,"[[18.7, 0.0, 'go', 2.18, 0.73, 0.75, 0.0], [19.2, 0.66, 'go', 7.46, 3.73, 0.75, 0.0], [19.7, 1.98, 'go', 8.44, 4.34, 0.75, 0.0], [20.2, 4.05, 'go', 12.88, 4.17, 0.5616837696320877, 0.0]]",Nudge to the right to increase clearance from the stopped vehicle blocking the lane ahead,False,True,False
3564,vehicle,vehicle.chevrolet.impala,14.35,0.0,5.82,5.82,"[[12.6, 0.82, 'go', 12.57, 4.63, 0.75, 0.0], [13.1, 2.16, 'go', 17.93, 6.55, 0.75, 0.0], [13.6, 4.27, 'go', 13.39, 4.57, 0.75, 0.0], [14.1, 5.21, 'go', 15.23, 5.09, 0.0, 0.0]]",Nudge to the right to clear the stopped vehicle blocking the lane ahead,False,False,False
3666,vehicle,vehicle.lincoln.mkz_2017,19.2,0.0,9.07,9.6,"[[17.6, 5.24, 'go', 17.75, 5.94, 0.75, 0.0], [18.1, 6.75, 'go', 14.43, 7.68, 0.75, 0.0], [18.6, 8.98, 'go', 24.04, 8.39, 0.0, 0.0], [19.1, 9.24, 'go', 16.13, 5.71, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead after the right turn,False,False,False
3670,vehicle,vehicle.dodge.charger_2020,24.55,0.0,10.35,10.53,"[[22.8, 3.89, 'go', 22.46, 8.03, 0.75, 0.0], [23.3, 5.16, 'go', 14.05, 6.29, 0.75, 0.0], [23.7, 7.11, 'go', 15.21, 8.94, 0.75, 0.0], [24.3, 8.88, 'go', 19.63, 9.31, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane after the right c,False,False,False
3676,layout,static.dynamic,28.6,0.0,1.14,1.24,"[[26.9, 0.0, 'rev', -3.21, 1.11, 0.75, 0.0], [27.4, 0.55, 'stay', 0.69, 0.28, 0.0, 1.0], [27.9, 0.0, 'go', 1.57, 0.51, 0.75, 0.0], [28.4, 0.67, 'go', 3.63, 1.45, 0.75, 0.0]]",Wait for a gap because a car is coming from behind in the right lane blocking an immediate,True,True,True
3697,vehicle,vehicle.ford.ambulance,18.55,0.0,5.55,7.45,"[[16.8, 5.19, 'go', 18.64, 6.34, 0.75, 0.0], [17.2, 6.99, 'go', 12.43, 6.63, 0.0, 0.0], [17.8, 6.7, 'go', 18.68, 8.57, 0.75, 0.0], [18.3, 5.53, 'go', 4.21, 0.84, 0.0, 1.0]]",Nudge to the right to increase clearance from the oncoming vehicle,False,False,False
3708,layout,traffic.stop,15.45,0.0,10.24,10.33,"[[13.7, 4.39, 'go', 24.35, 8.69, 0.75, 0.0], [14.2, 5.16, 'go', 14.26, 7.71, 0.75, 0.0], [14.7, 7.88, 'go', 20.44, 9.07, 0.75, 0.0], [15.2, 9.98, 'go', 27.87, 9.27, 0.0, 0.0]]",Turn right at the intersection since cross-traffic has cleared,False,False,False
3708,layout,static.vegetation,37.4,0.0,2.25,2.41,"[[35.8, 0.6, 'rev', -1.23, 0.47, 0.0, 1.0], [36.3, 0.0, 'rev', -4.24, 1.46, 0.75, 0.0], [36.8, 0.63, 'go', 2.18, 0.83, 0.75, 0.0], [37.3, 2.01, 'go', 5.79, 2.3, 0.75, 0.0]]","Merge left into traffic because a safe gap opens after a car passes, then accelerate to ma",True,True,True
3712,layout,static.fence,27.2,0.0,3.33,3.59,"[[25.8, 0.0, 'rev', -3.11, 1.05, 0.75, 0.0], [26.3, 0.56, 'go', 3.25, 1.21, 0.75, 0.0], [26.8, 1.95, 'go', 6.51, 2.45, 0.75, 0.0], [27.2, -0.81, 'go', 2.62, 0.53, 0.75, 0.0]]",Keep lane since the lane is clear ahead,False,True,True
3717,layout,static.fence,18.9,0.0,10.42,11.46,"[[17.1, 5.55, 'go', 24.04, 8.47, 0.75, 0.0], [17.6, 8.34, 'go', 30.96, 10.57, 0.75, 0.0], [18.0, 8.99, 'go', 18.35, 11.09, 0.75, 0.0], [18.6, 11.34, 'go', 21.96, 6.96, 0.0, 1.0]]",Turn left at the intersection since cross-traffic has cleared,False,False,False
3717,layout,static.vegetation,73.75,0.0,2.22,2.38,"[[72.2, 0.66, 'stay', 0.31, 0.15, 0.0, 1.0], [72.7, 0.0, 'go', 3.02, 1.0, 0.75, 0.0], [73.2, 0.69, 'go', 5.33, 1.78, 0.75, 0.0], [73.7, 2.06, 'go', 11.13, 4.21, 0.75, 0.0]]",Nudge left due to the stopped vehicle blocking the right side of our lane,True,True,False
3717,vehicle,vehicle.chevrolet.impala,56.75,0.0,2.35,2.52,"[[55.2, 2.09, 'go', 3.52, 1.1, 0.0, 1.0], [55.7, 0.0, 'go', 2.13, 0.77, 0.75, 0.0], [56.2, 0.77, 'go', 3.92, 1.46, 0.75, 0.0], [56.7, 2.19, 'go', 6.82, 2.38, 0.75, 0.0]]",Nudge right due to the stopped car blocking the left side of our lane,True,True,False
3731,vehicle,vehicle.audi.tt,15.25,0.0,2.37,2.39,"[[13.7, 2.15, 'go', 3.72, 0.98, 0.0, 1.0], [14.2, 0.0, 'rev', -3.12, 1.05, 0.75, 0.0], [14.7, 0.88, 'go', 5.34, 1.91, 0.75, 0.0], [15.2, 2.24, 'go', 3.0, 0.79, 0.0, 1.0]]",Stop to keep distance to the lead vehicle since it is stopped ahead,True,True,True
3731,vehicle,vehicle.lincoln.mkz_2017,53.25,0.0,2.59,7.4,"[[51.7, 5.12, 'go', 19.81, 7.11, 0.75, 0.0], [52.2, 7.11, 'go', 18.06, 6.28, 0.0, 1.0], [52.7, 3.03, 'go', 9.15, 3.21, 0.75, 0.0], [53.2, 2.4, 'go', 8.38, 3.34, 0.75, 0.0]]",Yield to the cut-in vehicle from the left since it merges into our lane ahead,True,False,False
3737,vehicle,vehicle.dodge.charger_2020,28.8,0.0,2.07,2.08,"[[27.2, 0.0, 'stay', -0.03, 0.01, 0.0, 1.0], [27.7, 0.0, 'go', 2.35, 0.78, 0.75, 0.0], [28.2, 0.64, 'go', 4.35, 1.57, 0.75, 0.0], [28.7, 1.98, 'go', 3.07, 0.87, 0.0, 1.0]]",Keep distance to the lead vehicle since it is stopped ahead,True,True,False
3737,vehicle,vehicle.audi.tt,49.25,0.0,8.26,9.98,"[[47.7, 7.46, 'go', 30.68, 10.72, 0.75, 0.0], [48.2, 8.9, 'go', 18.23, 9.02, 0.5933134918898588, 0.0], [48.7, 9.92, 'go', 20.16, 9.2, 0.0, 0.0], [49.2, 8.5, 'go', 10.4, 2.73, 0.0, 1.0]]",Nudge to the left to clear the stopped vehicle blocking the right side of our lane,False,False,False
3737,vehicle,vehicle.audi.tt,144.35,0.0,3.67,3.89,"[[142.9, 0.0, 'rev', -1.88, 0.64, 0.75, 0.0], [143.4, 0.64, 'go', 2.34, 0.93, 0.75, 0.0], [143.9, 1.93, 'go', 10.98, 4.41, 0.75, 0.0], [144.4, 3.89, 'go', 19.05, 7.02, 0.75, 0.0]]",Change lanes to the right and accelerate to merge into traffic because a slow/stopped car ,False,True,True
3785,vehicle,vehicle.mercedes.coupe_2020,5.55,0.0,11.22,12.54,"[[3.7, 7.11, 'go', 25.51, 8.76, 0.75, 0.0], [4.2, 8.82, 'go', 34.43, 11.91, 0.75, 0.0], [4.7, 11.01, 'go', 36.56, 12.48, 0.75, 0.0], [5.2, 12.45, 'go', 37.57, 12.5, 0.08622509867855954, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
3785,vehicle,vehicle.mercedes.coupe_2020,45.1,0.0,5.15,5.15,"[[43.2, 0.0, 'go', 1.93, 0.76, 0.75, 0.0], [43.7, 0.7, 'go', 2.18, 4.56, 0.75, 0.0], [44.2, 1.97, 'go', 4.86, 2.11, 0.6713536187498983, 0.0], [44.7, 3.64, 'go', 8.18, 5.49, 0.75, 0.0]]",Yield to the cut-in vehicle since it merges into our lane ahead,False,True,False
3785,vehicle,vehicle.mercedes.coupe_2020,50.1,0.0,9.13,9.73,"[[48.2, 4.94, 'go', 22.1, 8.18, 0.75, 0.0], [48.7, 5.92, 'go', 18.64, 6.41, 0.75, 0.0], [49.2, 8.52, 'go', 26.33, 9.23, 0.75, 0.0], [49.7, 9.7, 'go', 32.66, 11.11, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
3865,vehicle,vehicle.ford.mustang,19.55,0.0,1.54,1.63,"[[17.7, 0.0, 'rev', -1.14, 0.38, 0.0, 1.0], [18.2, 0.0, 'rev', -0.42, 0.23, 0.0, 1.0], [18.7, 0.0, 'rev', -2.85, 0.95, 0.75, 0.0], [19.2, 0.58, 'go', 3.0, 1.09, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,True,True,True
3869,layout,static.prop.mesh,19.25,0.0,6.93,7.16,"[[17.7, 1.48, 'go', 11.19, 3.91, 0.75, 0.0], [18.2, 3.18, 'go', 15.06, 5.38, 0.75, 0.0], [18.7, 5.3, 'go', 22.94, 7.99, 0.75, 0.0], [19.2, 6.68, 'go', 26.48, 9.15, 0.75, 0.0]]",Keep distance to the lead vehicle since it is slowing ahead,False,False,False
3876,vehicle,vehicle.lincoln.mkz_2020,8.15,0.0,10.83,11.01,"[[6.6, 5.3, 'go', 13.91, 6.84, 0.75, 0.0], [7.1, 6.9, 'go', 28.27, 9.68, 0.75, 0.0], [7.6, 8.57, 'go', 11.62, 9.15, 0.75, 0.0], [8.1, 10.63, 'go', 25.46, 11.0, 0.75, 0.0]]",Nudge right due to oncoming vehicle,False,False,False
3890,vehicle,vehicle.lincoln.mkz_2020,34.5,0.0,1.41,1.51,"[[32.7, 0.0, 'rev', -0.48, 0.17, 0.0, 1.0], [33.2, 0.0, 'stay', -0.02, 0.24, 0.0, 1.0], [33.7, 0.0, 'rev', -2.73, 0.93, 0.75, 0.0], [34.2, 0.66, 'go', 4.31, 1.95, 0.75, 0.0]]","Merge right and accelerate because a gap opens after the passing yellow car, and, despite ",True,True,True
3890,vehicle,vehicle.chevrolet.impala,121.75,0.0,4.62,4.82,"[[119.9, 0.69, 'go', 2.12, 0.73, 0.09787088633368457, 0.0], [120.4, 0.67, 'rev', -3.33, 1.19, 0.75, 0.0], [120.9, 1.46, 'go', 7.94, 3.06, 0.75, 0.0], [121.4, 3.13, 'go', 12.14, 4.44, 0.75, 0.0]]","Lane change to the right due to the close oncoming vehicle in fog and low visibility, then",False,False,False
3904,layout,traffic.speed_limit.30,17.9,0.0,10.96,11.12,"[[16.2, 5.2, 'go', 20.39, 7.03, 0.75, 0.0], [16.7, 6.61, 'go', 10.69, 8.11, 0.75, 0.0], [17.2, 8.68, 'go', 22.41, 11.19, 0.75, 0.0], [17.7, 10.33, 'go', 31.21, 12.84, 0.75, 0.0]]",Nudge right due to the stopped car blocking the left side of our lane,False,False,False
3936,layout,static.pole,33.3,0.0,5.44,5.54,"[[31.7, 1.88, 'go', 6.62, 2.11, 0.75, 0.0], [32.2, 3.86, 'go', 11.45, 3.93, 0.3191504525906479, 0.0], [32.7, 3.94, 'go', 14.61, 5.13, 0.75, 0.0], [33.2, 5.33, 'go', 26.67, 9.65, 0.75, 0.0]]",Merge left into the main travel lane due to starting in the curbside/parking lane with lim,False,False,False
3936,vehicle,vehicle.chevrolet.impala,15.5,0.0,9.95,10.1,"[[13.7, 4.19, 'go', 19.32, 6.88, 0.75, 0.0], [14.2, 5.25, 'go', 26.65, 9.28, 0.75, 0.0], [14.7, 7.66, 'go', 32.75, 11.53, 0.75, 0.0], [15.2, 9.72, 'go', 36.03, 12.33, 0.75, 0.0]]",Nudge right due to the vehicle encroaching from the left,False,False,False
