method,board,protocol/split,metric,score,source,is_author_reported,same_checkpoint
TF++,carla_lb2,"official test, SENSORS track",Driving Score,5.18,"papers/simlingo_base.pdf (Table 1, PDF p.6)",no (comparison table),unknown; LB2 and B2D checkpoint identity not stated
DrivoR,hugsim,"436 scenarios, common controller, zero-shot",HD-Score,0.3252,"papers/wa_jepa.pdf (Table 2, PDF p.7)",no (benchmark comparison),unknown; source-model checkpoints not linked to other boards
LTF,hugsim,"436 scenarios, common controller, zero-shot",HD-Score,0.231,"papers/wa_jepa.pdf (Table 2, PDF p.7)",no (benchmark comparison),unknown; source-model checkpoints not linked to other boards
UniAD,hugsim,"436 scenarios, common controller, zero-shot",HD-Score,0.3124,"papers/wa_jepa.pdf (Table 2, PDF p.7)",no (benchmark comparison),unknown; source-model checkpoints not linked to other boards
VAD,hugsim,"436 scenarios, common controller, zero-shot",HD-Score,0.1393,"papers/wa_jepa.pdf (Table 2, PDF p.7)",no (benchmark comparison),unknown; source-model checkpoints not linked to other boards
WA-JEPA,hugsim,"436 scenarios, common controller, zero-shot",HD-Score,0.4462,"papers/wa_jepa.pdf (Table 2, PDF p.7)",yes,unknown; source-model checkpoints not linked to other boards
DrivoR,hugsim,"zero-shot KITTI360, TOAD Table 4",HD-Score (%),17.7,"papers/toad.pdf (Table 4, PDF p.6)",no (comparison table),"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR + TOAD,hugsim,"zero-shot KITTI360, TOAD Table 4",HD-Score (%),18.4,"papers/toad.pdf (Table 4, PDF p.6)",yes,"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR,hugsim,"zero-shot PandaSet, TOAD Table 4",HD-Score (%),35.1,"papers/toad.pdf (Table 4, PDF p.6)",no (comparison table),"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR + TOAD,hugsim,"zero-shot PandaSet, TOAD Table 4",HD-Score (%),38.0,"papers/toad.pdf (Table 4, PDF p.6)",yes,"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR,hugsim,"zero-shot Waymo, TOAD Table 4",HD-Score (%),44.2,"papers/toad.pdf (Table 4, PDF p.6)",no (comparison table),"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR + TOAD,hugsim,"zero-shot Waymo, TOAD Table 4",HD-Score (%),42.8,"papers/toad.pdf (Table 4, PDF p.6)",yes,"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR,hugsim,"zero-shot nuScenes, TOAD Table 4",HD-Score (%),39.7,"papers/toad.pdf (Table 4, PDF p.6)",no (comparison table),"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
DrivoR + TOAD,hugsim,"zero-shot nuScenes, TOAD Table 4",HD-Score (%),49.9,"papers/toad.pdf (Table 4, PDF p.6)",yes,"unknown; public DrivoR base used without weight update, board checkpoint link unverified"
AutoVLA,navsim_v1,"navtest, NAVSIM v1",PDMS,89.11,"papers/autovla.pdf (Table 1 (Post-RFT), PDF p.7)",yes,"unknown; different benchmark fine-tuning described, checkpoint identity not stated"
DiffusionDrive,navsim_v1,"navtest, NAVSIM v1",PDMS,88.1,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),unknown; comparison checkpoint identity not stated
DriveFuture,navsim_v1,"navtest, NAVSIM v1",PDMS,90.7,"papers/drivefuture.pdf (Table 3, PDF p.8)",yes,unknown; checkpoint identity across protocols not stated
DriveMA-2B,navsim_v1,"navtest, NAVSIM v1",PDMS,90.5,"papers/drivema.pdf (Table 2, PDF p.6)",yes,unknown; NAVSIM and WOD training/checkpoint identity not established
DriveMA-4B,navsim_v1,"navtest, NAVSIM v1",PDMS,91.2,"papers/drivema.pdf (Table 2, PDF p.6)",yes,unknown; NAVSIM and WOD training/checkpoint identity not established
DrivoR,navsim_v1,"navtest, NAVSIM v1",PDMS,94.6,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),"unknown; TOAD public checkpoint, v1/v2 identity not explicit"
DrivoR (+134k SimScale),navsim_v1,"navtest, NAVSIM v1",PDMS,94.6,"papers/drivor.pdf (Table 13, PDF p.15)",yes,"unknown; both +134k rows, cross-version checkpoint identity not explicit"
DrivoR + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,94.7,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
GTRS (V2-99),navsim_v1,"navtest, NAVSIM v1",PDMS,90.4,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
GTRS (V2-99) + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,90.9,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
Hydra-MDP,navsim_v1,"navtest, NAVSIM v1",PDMS,90.9,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
Hydra-MDP + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,91.4,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
LTF,navsim_v1,"navtest, NAVSIM v1",PDMS,83.8,"papers/ltf.pdf (Table 1, PDF p.7)",no (comparison/official table),unknown; official v2 corrected snapshot
LTFv6,navsim_v1,"navtest, NAVSIM v1",PDMS,85.4,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,unknown; NAVSIM v1/v2 checkpoint identity not stated
LTFv6 + LEAD,navsim_v1,"navtest, NAVSIM v1",PDMS,86.4,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,unknown; NAVSIM v1/v2 checkpoint identity not stated
NTR,navsim_v1,"navtest, NAVSIM v1",PDMS,94.1,"papers/ntr.pdf (Table 2, PDF p.7)",yes,unknown; Waymo and NAVSIM trained separately
PDM-Closed,navsim_v1,"navtest, NAVSIM v1",PDMS,89.1,"papers/ltf.pdf (Table 1, PDF p.7)",no (comparison/official table),"not applicable; rule-based planner, no learned checkpoint"
RAP-DINO,navsim_v1,"navtest, NAVSIM v1",PDMS,93.8,"papers/rap.pdf (Table 1, PDF p.6)",no (comparison/official table),yes; RAP Section 4 says trained model directly evaluated on v1/v2; v2 rescored after metric fix
RAP-DINO + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,93.9,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
SparseDriveV2,navsim_v1,"navtest, NAVSIM v1",PDMS,92.0,"papers/sparsedrivev2.pdf (Table 2, PDF p.11)",yes,unknown; v1/v2 use 20/10 second-layer velocity anchors; checkpoint identity not explicitly stated
TransFuser,navsim_v1,"navtest, NAVSIM v1",PDMS,84.0,"papers/ltf.pdf (Table 1, PDF p.7)",no (comparison/official table),unknown; different benchmark re-evaluations
UniAD,navsim_v1,"navtest, NAVSIM v1",PDMS,83.4,"papers/ltf.pdf (Table 1, PDF p.7)",no (benchmark authors re-evaluated),unknown; HUGSIM UniAD checkpoint identity not stated
WA-JEPA,navsim_v1,"navtest, NAVSIM v1",PDMS,91.8,"papers/wa_jepa.pdf (Table 3, PDF p.7)",yes,unknown; checkpoint identity across protocols not stated
World4Drive,navsim_v1,"navtest, NAVSIM v1",PDMS,85.1,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),unknown; comparison checkpoint identity not stated
ZTRS (V2-99),navsim_v1,"navtest, NAVSIM v1",PDMS,86.9,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
ZTRS (V2-99) + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,89.0,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
iPad,navsim_v1,"navtest, NAVSIM v1",PDMS,91.7,"papers/toad.pdf (Table 5, PDF p.14)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
iPad + TOAD,navsim_v1,"navtest, NAVSIM v1",PDMS,93.4,"papers/toad.pdf (Table 5, PDF p.14)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
DiffusionDrive,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,24.2,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),unknown; comparison checkpoint identity not stated
DriveFuture,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,55.5,"papers/drivefuture.pdf (Table 1, PDF p.7)",yes,unknown; navhard versus navtest checkpoint identity not stated
DrivoR,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,54.6,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"unknown; TOAD public checkpoint, v1/v2 identity not explicit"
DrivoR (+134k SimScale),navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,54.6,"papers/drivor.pdf (Table 14 (after fix), PDF p.16)",yes,"unknown; both +134k rows, cross-version checkpoint identity not explicit"
DrivoR + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,56.3,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
GTRS (V2-99),navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,45.4,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
GTRS (V2-99) + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,51.7,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
Hydra-MDP,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,40.9,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
Hydra-MDP + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,49.7,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
LTF,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,25.1,"papers/navsim_v2_benchmark.pdf (Table 2, PDF p.8)",no (comparison/official table),unknown; official v2 corrected snapshot
LTFv6,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,28.3,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,unknown; NAVSIM v1/v2 checkpoint identity not stated
LTFv6 + LEAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,31.4,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,unknown; NAVSIM v1/v2 checkpoint identity not stated
PDM-Closed,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,56.6,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"not applicable; rule-based planner, no learned checkpoint"
RAP-DINO,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,39.6,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),yes; RAP Section 4 says trained model directly evaluated on v1/v2; v2 rescored after metric fix
RAP-DINO + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,49.0,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
TransFuser,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,23.1,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),unknown; different benchmark re-evaluations
World4Drive,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,34.9,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),unknown; comparison checkpoint identity not stated
ZTRS (V2-99),navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,48.1,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
ZTRS (V2-99) + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,49.2,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
iPad,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,34.7,"papers/toad.pdf (Table 6, PDF p.15)",no (comparison/official table),"unknown; public checkpoint used, cross-version identity not stated"
iPad + TOAD,navsim_v2,"navhard-two-stage, NAVSIM v2, corrected EPDMS",EPDMS,49.8,"papers/toad.pdf (Table 6, PDF p.15)",yes,"unknown; same public base planner family, no weight updates, v1/v2 checkpoint identity unstated (TOAD p.5)"
DriveFuture,navsim_v2,"navtest, NAVSIM v2, corrected EPDMS",EPDMS,89.9,"papers/drivefuture.pdf (Table 2, PDF p.7)",yes,unknown; checkpoint identity across protocols not stated
SparseDriveV2,navsim_v2,"navtest, NAVSIM v2, corrected EPDMS",EPDMS,90.1,"papers/sparsedrivev2.pdf (Table 3, PDF p.12)",yes,unknown; v1/v2 use 20/10 second-layer velocity anchors; checkpoint identity not explicitly stated
WA-JEPA,navsim_v2,"navtest, NAVSIM v2, corrected EPDMS",EPDMS,91.7,"papers/wa_jepa.pdf (Table 1, PDF p.6)",yes,unknown; checkpoint identity across protocols not stated
NTR,navsim_v2,"navtest, NAVSIM v2, correction status not stated",EPDMS,90.9,"papers/ntr.pdf (Table 3, PDF p.7)",yes,unknown; v1/v2 checkpoint identity not stated
SteerVLA,nuscenes,"val, 1/2/3s mean",Avg L2 (m),0.4,"papers/steervla.pdf (Table 5, PDF p.22)",yes,no; p.22 explicitly says stronger backbones than CARLA experiments
OmniSpace (Qwen2.5-VL 7B),nuscenes,"val, OmniSpace Table 1 metric, 1/2/3s mean",Avg L2 (m),0.28,"papers/omnispace.pdf (Table 1, PDF p.6)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
OmniSpace (Qwen3-VL 4B),nuscenes,"val, OmniSpace Table 1 metric, 1/2/3s mean",Avg L2 (m),0.28,"papers/omnispace.pdf (Table 1, PDF p.6)",yes,no; trained/evaluated for each benchmark separately (Section 4.1)
VAD-Base,nuscenes,"val, OmniSpace Table 1 metric, 1/2/3s mean",Avg L2 (m),0.37,"papers/omnispace.pdf (Table 1, PDF p.6)",no (comparison table),unknown; Bench2Drive checkpoint not linked
AD-MLP,nuscenes,"val, ST-P3 metric, 1/2/3s mean",Avg L2 (m),0.29,"papers/ad_mlp.pdf (Table 1 (full model), PDF p.3)",yes,no; Bench2Drive official authors retrained under base-set
AutoVLA,nuscenes,"val, ST-P3 metric, 1/2/3s mean",Avg L2 (m),0.4,"papers/autovla.pdf (Table S2 (w/ CoT), PDF p.26)",yes,unknown; nuScenes checkpoint versus CARLA/NAVSIM not stated
AutoVLA,wod_e2e,"test, vision-based E2E",RFS Overall,7.5566,"papers/ntr.pdf (Table 1, PDF p.7)",no (comparison table),"no; Waymo fine-tuning, see AutoVLA p.9"
DriveMA-2B,wod_e2e,"test, vision-based E2E",RFS Overall,8.06,"papers/drivema.pdf (Table 1, PDF p.6)",yes,unknown; NAVSIM and WOD training/checkpoint identity not established
DriveMA-4B,wod_e2e,"test, vision-based E2E",RFS Overall,8.079,"papers/drivema.pdf (Table 1, PDF p.6)",yes,unknown; NAVSIM and WOD training/checkpoint identity not established
NTR,wod_e2e,"test, vision-based E2E",RFS Overall,7.9982,"papers/ntr.pdf (Table 1 (single model), PDF p.7)",yes,no; benchmark-specific training in Section 4
NTR (Ensemble),wod_e2e,"test, vision-based E2E",RFS Overall,8.0461,"papers/ntr.pdf (Table 1 (ensemble), PDF p.7)",yes,no; ensemble is distinct from NAVSIM single planner
RAP-DINO,wod_e2e,"test, vision-based E2E",ADE@5s (m),2.65,"papers/rap.pdf (Table 3, PDF p.7)",yes,no; Waymo fine-tuned; later NTR Table 1 labels the WOD submission an ensemble
RAP-DINO,wod_e2e,"test, vision-based E2E",RFS Overall,8.04,"papers/rap.pdf (Table 3, PDF p.7)",yes,no; Waymo fine-tuned; later NTR Table 1 labels the WOD submission an ensemble
LTFv6,wod_e2e,validation,RFS Overall,7.51,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,no; WOD model separately fine-tuned (p.7)
LTFv6 + LEAD,wod_e2e,validation,RFS Overall,7.76,"papers/tfv6.pdf (Table 6, PDF p.8)",yes,no; WOD model separately fine-tuned (p.7)
