repo,issue_url,issue_date,category,user_reported_numbers,paper_numbers,paper_url,author_replied,author_reply_summary,author_quote,author_reply_url,resolved,issue_state,case_summary,related_methods,paper_locator
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/72,2026-04-14,score_gap;evaluation_config,Longest6 v2 DS 52.02%; RC 84.72%; 5+ runs,未在帖中给出精确论文分数,https://arxiv.org/pdf/2512.20563,yes,用户称低于所报均值与标准差；作者称该榜波动大，论文每个训练 seed 仅评一次，±5–8 DS 可视为正常。,…we report the numbers by evaluating each seed once. The numbers reported are not true mean a…,https://github.com/kesai-labs/lead/issues/72#issuecomment-4244815790,partial,closed,用户称低于所报均值与标准差；作者称该榜波动大，论文每个训练 seed 仅评一次，±5–8 DS 可视为正常。,TFv6[A],N/A; issue URL is the source for user and author statements
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/89,2026-06-12,score_gap;author_disclosure,Bench2Drive 完成的 202 条路线均值 DS 93.36；YieldToEmergencyVehicle 4/4 失败且 DS 70,TFv6 论文 Table 5 最佳配置 Bench2Drive DS 95.2±0.3；用户在 issue 引用 95.28，来源/精度未核同,https://arxiv.org/pdf/2512.20563,yes,用户称单 checkpoint 复现与论文接近；作者称该场景未训练或样本太少，并承认失败路线会重试。,"…We don't train on the scenario type. Even if we do, we have too few routes of…",https://github.com/kesai-labs/lead/issues/89#issuecomment-4708809856,partial,closed,用户称单 checkpoint 复现与论文接近；作者称该场景未训练或样本太少，并承认失败路线会重试。,TFv6[A],"TFv6 Table 5, PDF p.7; issue quotes 95.28, a different value from paper 95.2±0.3"
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/90,2026-06-16,evaluation_config;author_disclosure,未报告数字,TFv6 Table 5 LEAD expert Bench2Drive DS 96.8、SR 96.6；作者 issue 回复说明这是估计，未直接在 Bench2Drive 评测,https://arxiv.org/pdf/2512.20563,yes,作者明确说明未在 Bench2Drive 上评测 LEAD expert，而是在标准 leaderboard 结果基础上对异常路线记零估计；两协议目标点采样也不同。,…We did not evaluate LEAD expert on Bench2Drive since the porting would take a lots of wo…,https://github.com/kesai-labs/lead/issues/90#issuecomment-4779487301,yes,closed,作者明确说明未在 Bench2Drive 上评测 LEAD expert，而是在标准 leaderboard 结果基础上对异常路线记零估计；两协议目标点采样也不同。,TFv6[A],"TFv6 Table 5, PDF p.7; issue #90 clarifies estimate"
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/91,2026-06-24,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2512.20563,yes,作者解释 command 是六维 CARLA 导航 one-hot，未做独立消融，主要依赖目标点几何；HD map 仅作学习信号。,"…We ran no experiments on this, but we don't expect `command` to matter …",https://github.com/kesai-labs/lead/issues/91#issuecomment-4821382841,yes,closed,作者解释 command 是六维 CARLA 导航 one-hot，未做独立消融，主要依赖目标点几何；HD map 仅作学习信号。,TFv6[A],N/A; issue URL is the source for user and author statements
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/96,2026-07-20,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2512.20563,yes,用户用 v1.1.0 main 加载 cvpr2026 权重评测失败；作者确认两个分支的 checkpoint、配置、数据不兼容，并要求 cvpr2026 使用 CARLA 0.9.15。,"…nothing from cvpr2026 (checkpoints, configs, data) is compatibl…",https://github.com/kesai-labs/lead/issues/96#issuecomment-5021280191,partial,closed,用户用 v1.1.0 main 加载 cvpr2026 权重评测失败；作者确认两个分支的 checkpoint、配置、数据不兼容，并要求 cvpr2026 使用 CARLA 0.9.15。,TFv6[A],N/A; issue URL is the source for user and author statements
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/99,2026-09-07,score_gap;evaluation_config,3063 路线约 428k 场景，31+31 epoch；称闭环质量低于发布分数，未给 DS,TFv6 论文 Table 5 最佳配置 Bench2Drive DS 95.2±0.3；该帖未报可比 DS,https://arxiv.org/pdf/2512.20563,yes,用户改用七相机及 HD map 且从头训练；作者强调完整数据量，并提示相机增多可能降低表现，未给定量归因。,…full dataset is **very important** for training performance. Not only becaus…,https://github.com/kesai-labs/lead/issues/99#issuecomment-5568376677,no,open,用户改用七相机及 HD map 且从头训练；作者强调完整数据量，并提示相机增多可能降低表现，未给定量归因。,TFv6[A],"TFv6 Table 5, PDF p.7; different sensor/data configuration"
MSunDYY/SparseOccVLA,https://github.com/MSunDYY/SparseOccVLA/issues/2,2026-02-19,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2601.06474,yes,用户缺少 conv/desc/keywords/vqa 等数据；作者说这些由 OmniDrive 提供且文档未解释。,…we did not explain.,https://github.com/MSunDYY/SparseOccVLA/issues/2#issuecomment-3926048082,yes,closed,用户缺少 conv/desc/keywords/vqa 等数据；作者说这些由 OmniDrive 提供且文档未解释。,SparseOccVLA[A],N/A; issue URL is the source for user and author statements
MSunDYY/SparseOccVLA,https://github.com/MSunDYY/SparseOccVLA/issues/5,2026-03-10,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2601.06474,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户用发布权重评测遇到 state_dict 不匹配和 dataloader 帧数错误；仅提问者补充，无作者回复。,SparseOccVLA[A],N/A; issue URL is the source for user and author statements
MSunDYY/SparseOccVLA,https://github.com/MSunDYY/SparseOccVLA/issues/6,2026-03-11,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2601.06474,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户称公开代码缺 CLIP encoder，要求补充；正文为空，暂无回复；仅记录标题陈述。,SparseOccVLA[A],N/A; issue URL is the source for user and author statements
MSunDYY/SparseOccVLA,https://github.com/MSunDYY/SparseOccVLA/issues/7,2026-04-15,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2601.06474,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户在 stage3 配置未见规划要求，询问 use_gen_token 是否开启 diffusion 规划；无作者回复。,SparseOccVLA[A],N/A; issue URL is the source for user and author statements
MSunDYY/SparseOccVLA,https://github.com/MSunDYY/SparseOccVLA/issues/8,2026-07-09,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2601.06474,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户称 stage2 默认 use_gen_token 关闭似乎未训练轨迹，询问是否应开启；无作者回复。,SparseOccVLA[A],N/A; issue URL is the source for user and author statements
NVlabs/BEV-Planner,https://github.com/NVlabs/BEV-Planner/issues/2,2024-08-01,evaluation_config;protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2312.03031,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,closed,用户称评测要求 gt_fut_segmentations 并请求对应验证集 pkl 或生成代码；无回复，输入来源尚未确认。,BEV-Planner++[A],N/A; issue URL is the source for user and author statements
NVlabs/BEV-Planner,https://github.com/NVlabs/BEV-Planner/issues/3,2024-08-18,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2312.03031,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户找不到 CCR 指标实现并询问文件位置；无回复。,BEV-Planner++[A],N/A; issue URL is the source for user and author statements
NVlabs/GTRS,https://github.com/NVlabs/GTRS/issues/4,2025-08-06,score_gap;evaluation_config;protocol_split,用户官方权重评测 EP 高于论文；用户用 pinv 改 solve 后对单帧测得 EP 1，作者环境约 0.90,论文具体值未在正文文本给出,https://arxiv.org/pdf/2506.06664,yes,作者建议与官方基线一致使用 numpy.linalg.pinv；用户说两解法明显不一致，后续未完全统一环境。,…stick with the original method (numpy.linalg.pinv). Can you try this method or can I help wi…,https://github.com/NVlabs/GTRS/issues/4#issuecomment-3167631011,partial,closed,作者建议与官方基线一致使用 numpy.linalg.pinv；用户说两解法明显不一致，后续未完全统一环境。,GTRS[A],N/A; issue URL is the source for user and author statements
NVlabs/GTRS,https://github.com/NVlabs/GTRS/issues/5,2025-09-04,author_disclosure;evaluation_config,同初始化与独立初始化 GTRS-Aug navhard EPDMS 43.6 与 43.5,论文结果无该消融,https://arxiv.org/pdf/2506.06664,yes,作者承认公开 teacher/student 独立随机初始化；后补同初始化实验表，EPDMS 差 0.1。,…the current initialization is a bit different from the standard EMA approach. We are taking some time to evaluate i…,https://github.com/NVlabs/GTRS/issues/5#issuecomment-3257458407,yes,closed,作者承认公开 teacher/student 独立随机初始化；后补同初始化实验表，EPDMS 差 0.1。,GTRS[A],N/A; issue URL is the source for user and author statements
NVlabs/GTRS,https://github.com/NVlabs/GTRS/issues/6,2025-09-08,score_gap;evaluation_config,EVA-VIT-L 复现比论文低约 3 分,论文准确数字未在帖中给出,https://arxiv.org/pdf/2506.06664,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户请求 EVA-VIT-L 训练配置；截至抓取无作者回复。,GTRS[A],N/A; issue URL is the source for user and author statements
NVlabs/GTRS,https://github.com/NVlabs/GTRS/issues/11,2026-02-01,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2506.06664,yes,用户询问轨迹词表 traj_final/16384.npy 生成；作者说明需 nuPlan trainval Las Vegas 日志并运行 gather_traj.py 和 kmeans.py。,…preferably the Las Vegas split part1. 2. Use the script [https://github.com/NV…,https://github.com/NVlabs/GTRS/issues/11#issuecomment-3871644469,yes,open,用户询问轨迹词表 traj_final/16384.npy 生成；作者说明需 nuPlan trainval Las Vegas 日志并运行 gather_traj.py 和 kmeans.py。,GTRS[A],N/A; issue URL is the source for user and author statements
NVlabs/GTRS,https://github.com/NVlabs/GTRS/issues/12,2026-02-01,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2506.06664,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户询问推理组合权重 grid search 的具体流程，称论文只略述且代码无指南；截至抓取无作者回复。,GTRS[A],N/A; issue URL is the source for user and author statements
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/25,2025-07-04,evaluation_config;author_disclosure,用户加载 49549 样本、总 373263；论文称每 epoch 650000,650000 samples/epoch（用户引用）,https://arxiv.org/pdf/2503.09594,yes,用户报告 bucket 路径硬编码导致加载异常；作者确认修复，并给其正常数据量日志；具体样本差需依数据下载量核对。,"…I fixed it as you suggested. For the second question, the log and num…",https://github.com/RenzKa/simlingo/issues/25#issuecomment-3117172877,partial,closed,用户报告 bucket 路径硬编码导致加载异常；作者确认修复，并给其正常数据量日志；具体样本差需依数据下载量核对。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]","SimLingo Section 3.4, PDF p.5"
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/42,2025-08-04,evaluation_config,Bench2Drive RouteScenario_11715 多次使 CARLA 崩溃；另一用户报告 601 s timeout,未涉及论文总分,https://arxiv.org/pdf/2503.09594,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户报告单一路线不稳定；无作者回复，不能归因于模型或 CARLA。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]",N/A; issue URL is the source for user and author statements
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/43,2025-08-05,score_gap;evaluation_config;protocol_split,219 路线 DS 75.50、SR 67.12%；改用 Bench2Drive 定制目录后 DS 86.53、SR 67.12%；另有 220 路线 DS 88.7、SR 71.8%,论文 Table 2 DS 85.94,https://arxiv.org/pdf/2503.09594,yes,作者说 Bench2Drive 目录含定制修改，并用发布模型两次评得 DS 87.40、87.67；确认 Table 2 模型训练包含 Town13。,"…In the Bench2Drive folder are some custom adjustments for the benchmark, so this might be the r…",https://github.com/RenzKa/simlingo/issues/43#issuecomment-3159938161,yes,closed,作者说 Bench2Drive 目录含定制修改，并用发布模型两次评得 DS 87.40、87.67；确认 Table 2 模型训练包含 Town13。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]","SimLingo Table 2, PDF p.7"
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/44,2025-08-05,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2503.09594,yes,用户发现 4000 tick 截断被注释；作者承认曾为长路线关闭该错误，此逻辑来自 Bench2Drive 而非 CARLA 官方 leaderboard。,"…Yes I turned this off at some point, since I also sometimes evaluated on long…",https://github.com/RenzKa/simlingo/issues/44#issuecomment-3154772079,partial,closed,用户发现 4000 tick 截断被注释；作者承认曾为长路线关闭该错误，此逻辑来自 Bench2Drive 而非 CARLA 官方 leaderboard。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]",N/A; issue URL is the source for user and author statements
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/49,2025-08-07,evaluation_config;author_disclosure,配置 max_epochs=15；用户加载每 epoch 955968 样本,"论文 §3.4 写每 epoch 650,000 样本；附录训练设置表写 14 epochs",https://arxiv.org/pdf/2503.09594,yes,作者解释 checkpoint 每两 epoch 保存，epoch=013 可能是第 14 个；对样本数没有给出明确答复。,"I normally only save every second checkpoint. So by setting it to 15, I think ""epoch=0…",https://github.com/RenzKa/simlingo/issues/49#issuecomment-3220307297,partial,closed,作者解释 checkpoint 每两 epoch 保存，epoch=013 可能是第 14 个；对样本数没有给出明确答复。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]","SimLingo Section 3.4, PDF p.5; Appendix Table 7, PDF p.14"
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/66,2025-08-29,evaluation_config;author_disclosure,代码 prompt 概率 0.333/0.333/0.333 和 commentary 0.2,论文 Sec 3.4 50% VQA、35% commentary、7.5% 两类,https://arxiv.org/pdf/2503.09594,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,closed,用户指出公开代码与论文混合比例不一致；截至抓取无作者回复，不能断言最终训练配方。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]","SimLingo Section 3.4, PDF p.5"
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/72,2025-09-08,protocol_split;score_gap,issue #43 作者复测 DS 87.40/87.67；用户称与论文相差约 1.5 DS,论文 Table 2 DS 约 85–85.9,https://arxiv.org/pdf/2503.09594,yes,作者确认论文 Table 2 模型训练包含 Town13，并认为分数差来自 CARLA 训练与评测波动。,…models in Table 2 are trained including Town 13. Hope that answers your question. Let me …,https://github.com/RenzKa/simlingo/issues/72#issuecomment-3267867337,yes,closed,作者确认论文 Table 2 模型训练包含 Town13，并认为分数差来自 CARLA 训练与评测波动。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]","SimLingo Table 2, PDF p.7"
RenzKa/simlingo,https://github.com/RenzKa/simlingo/issues/84,2025-11-12,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2503.09594,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户称公开 LingoAgent 只支持标准 SimLingo InternVL2，无法直接评测自己训练的 SimLingo-Base LlavaNext；无作者回复。,"CarLLaVA[C,excluded]; SimLingo-BASE[C,excluded]",N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/6,2026-04-20,score_gap,自训 NAVSIM v1 分数 0.08053994634787943；用户称官方权重与论文一致,论文数字未在帖中给出,https://arxiv.org/pdf/2603.29163,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,partial,closed,用户后来发现自训 loss 变 NaN，猜测学习率；无作者回复，不把原因视为已证实。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/7,2026-04-30,author_disclosure;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2603.29163,yes,用户质疑推理选择是否只按规则指标评分；作者明确称设计目标是最大化 PDMS，未测试作通用轨迹评分器。,"Yes, this is to maximize the PDMS. For the driving performance on road, you…",https://github.com/swc-17/SparseDriveV2/issues/7#issuecomment-4402100238,yes,closed,用户质疑推理选择是否只按规则指标评分；作者明确称设计目标是最大化 PDMS，未测试作通用轨迹评分器。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/8,2026-05-19,score_gap;evaluation_config,用户复现 SparseDriveV1 Bench2Drive dev10 DS 约 37；非 SparseDriveV2 同配置,未在帖中给出,https://arxiv.org/pdf/2603.29163,yes,作者说明 V2 修复地图 GT 重复、加入 DN，建议 V1 使用 V2 stage1 权重，target point 可能影响指标；这是改动配置的问答。,…v1和v2 stage1结构差别不大，区别只在于v2后面修复了一些地图gt重复的问题，训练时加入了dn任务，训练轮数是一…,https://github.com/swc-17/SparseDriveV2/issues/8#issuecomment-4493598670,partial,closed,作者说明 V2 修复地图 GT 重复、加入 DN，建议 V1 使用 V2 stage1 权重，target point 可能影响指标；这是改动配置的问答。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/9,2026-05-26,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2603.29163,yes,用户按发布脚本评测因 _global_plan_far 缺失崩溃；作者说该字段当前模型不用，可删相关代码，并确认 IS_BENCH2DRIVE 环境变量。,"…it's actually not used in current model, so you can delete related code in Sparse…",https://github.com/swc-17/SparseDriveV2/issues/9#issuecomment-4550370719,yes,closed,用户按发布脚本评测因 _global_plan_far 缺失崩溃；作者说该字段当前模型不用，可删相关代码，并确认 IS_BENCH2DRIVE 环境变量。 主崩溃有明确修法；--agent-config 格式与 SAVE_PATH 子问未逐一答复。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/13,2026-06-29,author_disclosure;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2603.29163,yes,作者确认 NAVSIM 用 PDM 分数监督而 Bench2Drive 未用；还试过碰撞感知监督，整体差异不显著。,"…the choice of supervision is closely tied to the evaluation metric used. In NAVSIM, the PDM score is the pri…",https://github.com/swc-17/SparseDriveV2/issues/13#issuecomment-4839835918,yes,open,作者确认 NAVSIM 用 PDM 分数监督而 Bench2Drive 未用；还试过碰撞感知监督，整体差异不显著。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/16,2026-08-03,score_gap;evaluation_config,Bench2Drive DS 86.03; SR 65.45,Bench2Drive DS 89.15,https://arxiv.org/pdf/2603.29163,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户按 bench2drive 分支和官方 checkpoint 评测，发现 checkpoint 内轨迹簇路径与仓库指令不同；作者未回复，原因不明。,SparseDriveV2[A],"SparseDriveV2 Table 4, PDF p.13"
swc-17/SparseDriveV2,https://github.com/swc-17/SparseDriveV2/issues/18,2026-09-07,evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2603.29163,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户按 create_data.sh 得到 trajectory_1024_256.npz 而训练需要 trajectory_1024_256_b2d.npz，询问 stage1 权重如何产生；暂无回复。,SparseDriveV2[A],N/A; issue URL is the source for user and author statements
Tsinghua-MARS-Lab/DriveMA,https://github.com/Tsinghua-MARS-Lab/DriveMA/issues/2,2026-07-18,score_gap;evaluation_config,Stage 1 meta-action accuracy 0.6 vs 发布 2B 约 0.7；Stage 2 RFS 7.28,论文 Stage 2 RFS 7.89,https://arxiv.org/pdf/2605.31271,yes,作者确认 Stage 1/2 各训 1 epoch，提出训练配置、数据或 prompt 模板不一致可能性，尚无最终诊断。,…Both Stage 1 and Stage 2 are intended to be trained for only one epoch. For the lower Meta Action Accuracy in St…,https://github.com/Tsinghua-MARS-Lab/DriveMA/issues/2#issuecomment-5011967204,partial,closed,作者确认 Stage 1/2 各训 1 epoch，提出训练配置、数据或 prompt 模板不一致可能性，尚无最终诊断。,DriveMA-4B[A],"DriveMA Table 3, PDF p.7; value rounded from 7.893"
Tsinghua-MARS-Lab/DriveMA,https://github.com/Tsinghua-MARS-Lab/DriveMA/issues/3,2026-07-28,evaluation_config;author_disclosure,作者给 NAVSIM SFT 后 DriveMA-2B PDMS 86.55；用户指出论文 β=0.4、代码 β=0.04,论文 β=0.4；代码 β=0.04（用户引用）,https://arxiv.org/pdf/2605.31271,yes,作者说 DriveMA-4B 的部分实验档案暂缺，给出 2B SFT 分数；β 与训练细节追问截至抓取无答复。,"…some of our experimental archive files are temporarily missing at present, so we can only provide the NA…",https://github.com/Tsinghua-MARS-Lab/DriveMA/issues/3#issuecomment-5113133642,partial,open,作者说 DriveMA-4B 的部分实验档案暂缺，给出 2B SFT 分数；β 与训练细节追问截至抓取无答复。,DriveMA-4B[A],"DriveMA Appendix training details, PDF p.14; code value is issue claim"
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/2,2025-07-04,score_gap;evaluation_config,用户称自训 text waypoint 在 NAVSIM 略高于论文 physical action，未给具体数值,论文确数未在帖中文本给出,https://arxiv.org/pdf/2506.13757,yes,作者说后来对 text waypoint 做额外超参调优并更新论文；不能从用户报告推定可比。,…further conducted thorough hyperparameter tuning specifically for the text waypoint framew…,https://github.com/ucla-mobility/AutoVLA/issues/2#issuecomment-4590514843,partial,closed,作者说后来对 text waypoint 做额外超参调优并更新论文；不能从用户报告推定可比。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/22,2026-02-24,protocol_split;evaluation_config,发布 SFT config 曾指向 nuPlan sensor_blobs/test,论文评测数值不适用,https://arxiv.org/pdf/2506.13757,yes,作者承认 test 路径是清理代码时误贴的 eval 路径并已修正；CoT 标注样本为随机抽样后人工检查。,"…The path entry was a typo, and we accidentally pasted the evaluatio…",https://github.com/ucla-mobility/AutoVLA/issues/22#issuecomment-4590058908,yes,closed,作者承认 test 路径是清理代码时误贴的 eval 路径并已修正；CoT 标注样本为随机抽样后人工检查。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/23,2026-02-25,score_gap;author_disclosure,两用户称自训 SFT 推理不输出 action token,未给论文数值,https://arxiv.org/pdf/2506.13757,yes,作者解释 L_LM 覆盖推理及动作 token，CoT 样本另加 action loss 加强监督；未在 issue 中确认用户失败原因。,"…are practically identical. 2. When CoT is present, the action token…",https://github.com/ucla-mobility/AutoVLA/issues/23#issuecomment-4590019423,partial,closed,作者解释 L_LM 覆盖推理及动作 token，CoT 样本另加 action loss 加强监督；未在 issue 中确认用户失败原因。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/30,2026-03-13,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2506.13757,yes,作者明确 Bench2Drive 管线有尚无法公开清理的内部工程依赖；以 socket 分离 CARLA 与模型进程，并用 CARLA CoT 数据集训练。,"…internal engineering dependencies that we are unable to clean up and release at this stage. Crucially, however, the…",https://github.com/ucla-mobility/AutoVLA/issues/30#issuecomment-4684914370,partial,closed,作者明确 Bench2Drive 管线有尚无法公开清理的内部工程依赖；以 socket 分离 CARLA 与模型进程，并用 CARLA CoT 数据集训练。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/33,2026-03-27,evaluation_config;author_disclosure,用户列 SFT LR 1e-5、有效 batch 32、5 epoch、CoT 权重 40 等,论文数值视用户引用,https://arxiv.org/pdf/2506.13757,yes,作者基本确认所列训练配置，说明 10K–185K 混合数据为拼接、打乱、随机抽样，具体硬件/数据可微调。,"…It is a concatenation, shuffle, and random sampling. 3. Our experiments showed that scaling t…",https://github.com/ucla-mobility/AutoVLA/issues/33#issuecomment-4589672241,yes,closed,作者基本确认所列训练配置，说明 10K–185K 混合数据为拼接、打乱、随机抽样，具体硬件/数据可微调。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/41,2026-06-05,author_disclosure;evaluation_config,用户 SFT-only checkpoint 在 navtest 全部输出 CoT,论文数量不适用,https://arxiv.org/pdf/2506.13757,yes,作者解释 SFT CoT 模式混合 CoT/非 CoT 数据，RFT 用长度惩罚；视觉编码器始终冻结，SFT 不用 LoRA、RFT 才用。,…We do not use LoRA during SFT. We only use LoRA during RFT to optimize …,https://github.com/ucla-mobility/AutoVLA/issues/41#issuecomment-4641533785,yes,closed,作者解释 SFT CoT 模式混合 CoT/非 CoT 数据，RFT 用长度惩罚；视觉编码器始终冻结，SFT 不用 LoRA、RFT 才用。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/42,2026-06-05,score_gap;evaluation_config,用户称发布权重在 nuScenes val L2 高且碰撞率低；另有用户称与附录表不符，未给可转录数字,论文附录 nuScenes 分数未在帖中文本给出,https://arxiv.org/pdf/2506.13757,yes,作者先说无需额外 SFT，后明确 nuScenes 表格需要额外 RFT；发布 checkpoint 是 NAVSIM RFT。,"…you need to do the additional RFT on nuscenes, and the released checkpoint is based on …",https://github.com/ucla-mobility/AutoVLA/issues/42#issuecomment-5084972603,partial,closed,作者先说无需额外 SFT，后明确 nuScenes 表格需要额外 RFT；发布 checkpoint 是 NAVSIM RFT。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/43,2026-06-06,evaluation_config;author_disclosure,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2506.13757,yes,作者确认 Bench2Drive 训练及闭环评测脚本有内部依赖，现阶段无法发布。,"…internal engineering dependencies that we are unable to clean up and release at this stage. Crucially, however, the…",https://github.com/ucla-mobility/AutoVLA/issues/43#issuecomment-4684891970,no,closed,作者确认 Bench2Drive 训练及闭环评测脚本有内部依赖，现阶段无法发布。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/44,2026-06-08,author_disclosure;evaluation_config,Teacher 标注可用前后左右四视角，student 某配置仅用前三视角,论文数字不适用,https://arxiv.org/pdf/2506.13757,yes,作者承认标注与推理视角最好对齐，但称去除后视相机可缓解幻觉并改善总体表现。,…removing the back-view camera effectively mitigates hallucinations and yields better overall performance.,https://github.com/ucla-mobility/AutoVLA/issues/44#issuecomment-4659759354,yes,closed,作者承认标注与推理视角最好对齐，但称去除后视相机可缓解幻觉并改善总体表现。,AutoVLA[B],N/A; issue URL is the source for user and author statements
ucla-mobility/AutoVLA,https://github.com/ucla-mobility/AutoVLA/issues/45,2026-06-08,author_disclosure;evaluation_config,nuPlan 侧相机映射与其他数据集前侧相机不同,论文数字不适用,https://arxiv.org/pdf/2506.13757,yes,作者解释 nuPlan 是最先标注的数据集，随后沿用其配置；称前/左前/右前三视角已足够。,"…nuPlan was the very first dataset we annotated, and the process required a significant t…",https://github.com/ucla-mobility/AutoVLA/issues/45#issuecomment-4659787051,partial,closed,作者解释 nuPlan 是最先标注的数据集，随后沿用其配置；称前/左前/右前三视角已足够。,AutoVLA[B],N/A; issue URL is the source for user and author statements
