method,board,split,metric,component,baseline_config,variant_config,baseline_score,variant_score,delta,same_weights_or_retrained,seeds_or_runs,n_samples,source,notes,hack_finding_id
NTR,wod_e2e,validation,ADE_5s_m,ema_teacher_targets,Frozen target + Semantic Prior,NTR,2.279,2.146,-0.133,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 4, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,ADE_3s_m,ema_teacher_targets,Frozen target + Semantic Prior,NTR,1.019,0.949,-0.07,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 4, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,latent_reconstruction,"planning-only, 1 tokens","NTR, 1 tokens",7.567,7.579,+0.012,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,latent_reconstruction,"planning-only, 4 tokens","NTR, 4 tokens",7.663,7.741,+0.078,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,latent_reconstruction,"planning-only, 8 tokens","NTR, 8 tokens",7.671,7.856,+0.185,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,latent_reconstruction,"planning-only, 16 tokens","NTR, 16 tokens",7.652,7.974,+0.322,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,latent_reconstruction,"planning-only, 32 tokens","NTR, 32 tokens",7.768,8.053,+0.285,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,Baseline 1 tokens,Baseline 4 tokens,7.567,7.663,+0.096,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,Baseline 4 tokens,Baseline 8 tokens,7.663,7.671,+0.008,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,Baseline 8 tokens,Baseline 16 tokens,7.671,7.652,-0.019,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,Baseline 16 tokens,Baseline 32 tokens,7.652,7.768,+0.116,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,NTR 1 tokens,NTR 4 tokens,7.579,7.741,+0.162,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,NTR 4 tokens,NTR 8 tokens,7.741,7.856,+0.115,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,NTR 8 tokens,NTR 16 tokens,7.856,7.974,+0.118,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,RFS,scene_token_budget,NTR 16 tokens,NTR 32 tokens,7.974,8.053,+0.079,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
NTR,wod_e2e,validation,scene_token_effective_rank,latent_reconstruction,"planning only, 4 tokens","NTR, 4 tokens",1.144,1.281,+0.137,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_pairwise_similarity,latent_reconstruction,"planning only, 4 tokens","NTR, 4 tokens",0.951,0.292,-0.659,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_effective_rank,latent_reconstruction,"planning only, 8 tokens","NTR, 8 tokens",1.307,2.568,+1.261,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_pairwise_similarity,latent_reconstruction,"planning only, 8 tokens","NTR, 8 tokens",0.918,0.563,-0.355,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_effective_rank,latent_reconstruction,"planning only, 16 tokens","NTR, 16 tokens",2.08,3.38,+1.3,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_pairwise_similarity,latent_reconstruction,"planning only, 16 tokens","NTR, 16 tokens",0.953,0.407,-0.546,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_effective_rank,latent_reconstruction,"planning only, 32 tokens","NTR, 32 tokens",2.133,2.352,+0.219,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
NTR,wod_e2e,validation,scene_token_pairwise_similarity,latent_reconstruction,"planning only, 32 tokens","NTR, 32 tokens",0.85,0.461,-0.389,retrained,N/A,479 segments (paper PDF p.6),"ntr.pdf, Table 5, PDF p.8",token 表征诊断指标；1-token 行未给 rank/sim，故不填。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_pretraining,random init,ImageNet-21k init,70.1,87.5,+17.4,retrained,N/A,N/A,"drivor.pdf, Table 4(a), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_pretraining,ImageNet-21k init,DINOv2 init,87.5,90.0,+2.5,retrained,N/A,N/A,"drivor.pdf, Table 4(a), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_finetuning,"no compression, frozen","no compression, LoRA",88.2,90.2,+2,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,token_compression,"no compression, LoRA","pooling, LoRA",90.2,89.7,-0.5,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,token_compression,"no compression, LoRA","decoder, LoRA",90.2,89.3,-0.9,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,register_compression,"pooling, LoRA","registers, LoRA",89.7,90.0,+0.3,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,register_compression,"decoder, LoRA","registers, LoRA",89.3,90.0,+0.7,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_finetuning,"decoder, frozen","decoder, LoRA",86.9,89.3,+2.4,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_finetuning,"decoder, LoRA","decoder, full fine-tune",89.3,88.4,-0.9,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,vision_finetuning,"registers, frozen","registers, LoRA",84.4,90.0,+5.6,retrained,N/A,N/A,"drivor.pdf, Table 4(b), PDF p.7",同表同时列出参数量和 token 数；配对中若压缩方式或微调方式也变动，按配置原文保留。,N/A
DrivoR,navsim_v1,navval,PDMS,register_count,5 original DINOv2 registers,5 original + 16 random,88.1,89.8,+1.7,retrained,N/A,N/A,"drivor.pdf, Table 4(c), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,register_count,5 random registers,8 random registers,89.7,89.7,+0,retrained,N/A,N/A,"drivor.pdf, Table 4(c), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,register_count,8 random registers,16 random registers,89.7,90.0,+0.3,retrained,N/A,N/A,"drivor.pdf, Table 4(c), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,register_count,16 random registers,32 random registers,90.0,89.8,-0.2,retrained,N/A,N/A,"drivor.pdf, Table 4(c), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,register_initialization,5 random registers,5 original DINOv2 registers,89.7,88.1,-1.6,retrained,N/A,N/A,"drivor.pdf, Table 4(c), PDF p.7",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,trajectory_query_count,1,8,80.1,87.6,+7.5,retrained,N/A,N/A,"drivor.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,trajectory_query_count,8,16,87.6,88.1,+0.5,retrained,N/A,N/A,"drivor.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,trajectory_query_count,16,32,88.1,89.5,+1.4,retrained,N/A,N/A,"drivor.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,trajectory_query_count,32,64,89.5,90.0,+0.5,retrained,N/A,N/A,"drivor.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,trajectory_query_count,64,128,90.0,90.0,+0,retrained,N/A,N/A,"drivor.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,separate_decoders,"one shared decoder, six scores","separate decoders, no disentanglement",84.7,86.8,+2.1,retrained,N/A,N/A,"drivor.pdf, Table 6, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,score_representation_disentanglement,"separate decoders, no disentanglement","separate decoders, disentangled, six scores",86.8,90.0,+3.2,retrained,N/A,N/A,"drivor.pdf, Table 6, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v1,navval,PDMS,subscore_prediction,"separate decoders, disentangled, one score","separate decoders, disentangled, six scores",88.2,90.0,+1.8,retrained,N/A,N/A,"drivor.pdf, Table 6, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,NAV1-DRIVOR-002
DrivoR,navsim_v1,navval,PDMS,aggressive_second_target,human target t+T,human target + future target t+Tprime,90.0,90.6,+0.6,retrained,N/A,N/A,"drivor.pdf, Table 7, PDF p.9",无额外摘录；比较配置与出处见本行其他字段。,NAV1-DRIVOR-001
DrivoR,navsim_v2,warmup-two-stage,EPDMS,aggressive_second_target,human target t+T,human target + future target t+Tprime,39.4,37.8,-1.6,retrained,N/A,N/A,"drivor.pdf, Table 7, PDF p.9",无额外摘录；比较配置与出处见本行其他字段。,NAV1-DRIVOR-001
DrivoR,navsim_v1,navval,PDMS,trajectory_tokenization,multi-token trajectory,single-token trajectory,83.9,90.0,+6.1,retrained,N/A,N/A,"drivor.pdf, Table 12, PDF p.14",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v2,navhard two-stage,EPDMS,synthetic_training_data,DrivoR ViT-S,DrivoR + 65k SimScale data,48.3,52.3,+4,retrained,N/A,N/A,"drivor.pdf, Table 3, PDF p.6",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v2,navhard two-stage,EPDMS,synthetic_training_data,DrivoR + 65k SimScale data,DrivoR + 134k SimScale data,52.3,54.6,+2.3,retrained,N/A,N/A,"drivor.pdf, Table 3, PDF p.6",无额外摘录；比较配置与出处见本行其他字段。,N/A
DrivoR,navsim_v2,warmup-two-stage,EPDMS,manual_subscore_weights,default agent,safety-oriented agent,N/A,N/A,N/A,same_weights,N/A,N/A,"drivor.pdf, Figure 7, PDF p.9",图为柱形比较，但 PDF 文本未给精确分数；未按图高估读数。,NAV2-DRIVOR-001
DriveVLA-M0,navsim_v1,navval ablation,NC,retrieval_key,Base Model,Lang retrieval,98.4,98.0,-0.4,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,retrieval_key,Base Model,Lang retrieval,97.1,97.3,+0.2,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,retrieval_key,Base Model,Lang retrieval,87.7,88.1,+0.4,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,retrieval_key,Base Model,Lang retrieval,95.2,93.9,-1.3,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,retrieval_key,Base Model,Lang retrieval,97.6,100.0,+2.4,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_key,Base Model,Lang retrieval,91.0,90.7,-0.3,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,retrieval_key,Base Model,Map retrieval,98.4,98.4,+0,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,retrieval_key,Base Model,Map retrieval,97.1,97.7,+0.6,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,retrieval_key,Base Model,Map retrieval,87.7,89.1,+1.4,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,retrieval_key,Base Model,Map retrieval,95.2,94.5,-0.7,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,retrieval_key,Base Model,Map retrieval,97.6,99.9,+2.3,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_key,Base Model,Map retrieval,91.0,91.7,+0.7,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,retrieval_key,Map retrieval,Map + Agent retrieval,98.4,98.9,+0.5,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,retrieval_key,Map retrieval,Map + Agent retrieval,97.7,97.7,+0,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,retrieval_key,Map retrieval,Map + Agent retrieval,89.1,89.6,+0.5,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,retrieval_key,Map retrieval,Map + Agent retrieval,94.5,95.0,+0.5,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,retrieval_key,Map retrieval,Map + Agent retrieval,99.9,99.9,+0,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_key,Map retrieval,Map + Agent retrieval,91.7,92.3,+0.6,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 3, PDF p.8",同一模型更换记忆检索键，不更新参数。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,memory_injection,no memory,offline LoRA 10 epochs,98.4,98.1,-0.3,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,memory_injection,no memory,offline LoRA 10 epochs,97.1,97.5,+0.4,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,memory_injection,no memory,offline LoRA 10 epochs,87.7,88.6,+0.9,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,memory_injection,no memory,offline LoRA 10 epochs,95.2,94.2,-1,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,memory_injection,no memory,offline LoRA 10 epochs,97.6,99.9,+2.3,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,memory_injection,no memory,offline LoRA 10 epochs,91.0,91.2,+0.2,retrained,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,memory_injection,no memory,TTT full,98.4,99.0,+0.6,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,memory_injection,no memory,TTT full,97.1,97.8,+0.7,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,memory_injection,no memory,TTT full,87.7,89.6,+1.9,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,memory_injection,no memory,TTT full,95.2,95.1,-0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,memory_injection,no memory,TTT full,97.6,99.9,+2.3,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,memory_injection,no memory,TTT full,91.0,92.4,+1.4,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,memory_injection,no memory,TTT LoRA,98.4,99.0,+0.6,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,memory_injection,no memory,TTT LoRA,97.1,97.8,+0.7,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,memory_injection,no memory,TTT LoRA,87.7,89.5,+1.8,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,memory_injection,no memory,TTT LoRA,95.2,95.0,-0.2,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,memory_injection,no memory,TTT LoRA,97.6,99.9,+2.3,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,memory_injection,no memory,TTT LoRA,91.0,92.3,+1.3,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,NC,memory_injection,TTT LoRA,TTT full,99.0,99.0,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,DAC,memory_injection,TTT LoRA,TTT full,97.8,97.8,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,EP,memory_injection,TTT LoRA,TTT full,89.5,89.6,+0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,TTC,memory_injection,TTT LoRA,TTT full,95.0,95.1,+0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,C,memory_injection,TTT LoRA,TTT full,99.9,99.9,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,memory_injection,TTT LoRA,TTT full,92.3,92.4,+0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 4, PDF p.8",TTT 在推理时从共同起始 checkpoint 更新参数；离线 LoRA 另行训练。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_trigger_threshold,0.7,0.9,90.4,91.7,+1.3,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_trigger_threshold,0.9,0.95,91.7,91.4,-0.3,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,retrieval_trigger_threshold,0.95,0.99,91.4,89.4,-2,same_weights,N/A,N/A,"drivevla_m0.pdf, Table 5, PDF p.8",无额外摘录；比较配置与出处见本行其他字段。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"5e-5, 1 step","1e-4, 1 step",92.2,92.2,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"1e-4, 1 step","2e-4, 1 step",92.2,92.0,-0.2,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"5e-5, 3 steps","1e-4, 3 steps",92.3,92.3,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"1e-4, 3 steps","2e-4, 3 steps",92.3,92.3,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"5e-5, 5 steps","1e-4, 5 steps",92.3,92.2,-0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_learning_rate,"1e-4, 5 steps","2e-4, 5 steps",92.2,92.1,-0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_gradient_steps,"5e-5, 1 step","5e-5, 3 steps",92.2,92.3,+0.1,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
DriveVLA-M0,navsim_v1,navval ablation,PDMS,ttt_gradient_steps,"5e-5, 3 steps","5e-5, 5 steps",92.3,92.3,+0,test_time_updated,N/A,N/A,"drivevla_m0.pdf, Table 8, PDF p.12",相同起始模型，测试时优化超参数不同。,N/A
